_id,sid_comment,star,time,comment
,1,1,,第1篇評論找不到，得用RAWDATA回溯
,2,1,,第2篇評論找不到，得用RAWDATA回溯
,3,4,,第3篇評論找不到，得用RAWDATA回溯
,4,2,,第4篇評論找不到，得用RAWDATA回溯
,5,2,,入場100元能看的不多雖然能夠抵消費對DIY沒啥興趣點了一杯醋飲料比旁邊提供的薄荷茶還不如
,6,1,,第6篇評論找不到，得用RAWDATA回溯
,7,5,,第7篇評論找不到，得用RAWDATA回溯
,8,3,,第8篇評論找不到，得用RAWDATA回溯
,9,1,,第9篇評論找不到，得用RAWDATA回溯
,10,2,,第10篇評論找不到，得用RAWDATA回溯
,11,3,,第11篇評論找不到，得用RAWDATA回溯
,12,1,,第12篇評論找不到，得用RAWDATA回溯
,13,5,,非常喜歡，剛好遇上人不多的時候，門口的收票阿姨非常親切，門票100$但可以抵裡面任何的花費，可以買小植栽也可以做有關植物的DIY小物，也可以喝飲料吃點心，非常值得。裡面平均的消費都大概100，可以一邊喝咖啡一邊體驗diy，教學的店員也非常熱心非常親切空中花園感覺可以再稍微設計過一下，編排顏色上有點參差，但空中花園的小故事非常用心，10棵桂花樹的故事很動容，整體上適合走走看看花草，買個漂亮的小植栽送朋友，或是做個手工，非常好的地方，很推薦。
,14,1,,總結：標準傳統騙錢觀光客景點，設施老舊，價格昂貴，一百塊的門票只能讓你喝飲料，跟上廁所；連鎖便利商店的等級明顯高於此，不要讓這個景點毀了你出遊的心情。1) 價格及服務：100元入場券，可折抵消費，但裡面隨便一杯飲料就一百，點心五十；我還以為現在宜蘭發大財，物價指數已經高過台北了；硬體設備老舊，小孩子的玩具很多都故障，半殘不死的；現場環境髒亂，完全不懂這裡是展覽館，還是倉庫？空間設計詭異，主題詭異，整個展場還有吵死人的無人機一直飛；然後只知道賺錢，莫名的自助餐收你420+10%，盆栽和園藝植物都有標價，好像所有東西只為了賣才擺出來，而沒有認真考量100元入場券的體驗；偉哉中華民族美學和概念，真的糟透了。2) 食物及飲料：不用期待，看到這邊大概已經知道會有什麼水準，低於連鎖餐廳水準，雖然吃到飽的品質普遍較低，但這邊已經低到不太好入口了；只能跟入內用餐的旅客說：辛苦了！3) 各項設施：空中步道開放時間很短，佈置隨意，已經有點老舊，沒有維護；無人機虛擬體驗館半小時需要150元，哈囉？？看起來就像在玩PS4遊戲，你跟我說這樣半小時收費這麼高？廁所陰暗潮濕且髒亂，真的跟公廁水準差不多，我想不到這邊還有什麼東西稱得上設施了，就是一心斂財但裝得很差，演得很膚淺的商人評論：不要再用端出這種東西，然後說沒有生意、沒有觀光客，然後責備大環境，責備經濟；因為這種品質，只會拉低台灣觀光業水準，給人家很糟的體驗，只剩下銅臭味跟低落的經營理念。
,15,4,,第15篇評論找不到，得用RAWDATA回溯
,16,3,,門票雖然只要一百，但園區的衛生整潔和展示花都差強人意，一樓的展示有一半都是販售品（多肉和小盆栽）。二樓的空中走廊還算可以，雖然因為園區沒什麼可拍所以大家都在這裡拍照。除此之外二樓還有一面香料展示板，損壞的地方沒有修理，也沒有相關設施，不是很懂放這面稱不上牆的東西的意義何在。洗手間也只有二樓有，對腿腳不方便的客人來說實在有些不便。自助餐的部分品項還算是豐富，且補菜也是補不同品項（希望可以事先告訴用餐客人，不然都吃飽了才看到喜歡的菜餚上桌實在很啊砸），讓餐桌上的菜品很豐富。味道普通，但是以價格來看，算是品質穩定了。如果只是想找個景點打發時間走一走，勉強可以來這裡，但如果是正經想要這裡擔起一個景點的位置，可能會失望。
,17,4,,喜歡花草園藝者必訪，身在其中就覺得滿滿幸福☺   名為「香草菲菲」，實際上以具有香氣的植物為主，但還是可以看到香草植物唷~由於到訪時間為1月，園區門口有兩排帶著香味的茶花迎賓，園內更是飄送著濃淡合宜的桂花香。或許不同月份再來訪，就能看到更多香草植物如果只是想單純拍照吃飯，這裡一個人$420+10%的buffet充滿在地風味，能快速將宜蘭傳統美食吃上一輪（ex.鴨賞、粉肝、魚丸米粉…etc.)，推薦給喜愛嘗試當地傳統美味的人。（特推滷大腸！！）
,18,5,,可以認識各式花草品種穿越天空步道感受滿室馨香在香草環繞的花園吃自助式午餐(都是有機食材!除了販賣盆景植物及麵包外(門票100元可在這抵消費還有diy活動等很多有趣的課程適合全家大小跟寵物一齊在此放鬆享受假日午後幾年來對這個景點印象深刻
,19,5,,第19篇評論找不到，得用RAWDATA回溯
,20,5,,第20篇評論找不到，得用RAWDATA回溯
,21,4,,第21篇評論找不到，得用RAWDATA回溯
,22,5,,第22篇評論找不到，得用RAWDATA回溯
,23,4,,第23篇評論找不到，得用RAWDATA回溯
,24,5,,第24篇評論找不到，得用RAWDATA回溯
,25,4,,第25篇評論找不到，得用RAWDATA回溯
,26,4,,第26篇評論找不到，得用RAWDATA回溯
,27,5,,第27篇評論找不到，得用RAWDATA回溯
,28,4,,第28篇評論找不到，得用RAWDATA回溯
,29,3,,第29篇評論找不到，得用RAWDATA回溯
,30,3,,第30篇評論找不到，得用RAWDATA回溯
,31,5,,第31篇評論找不到，得用RAWDATA回溯
,32,4,,第32篇評論找不到，得用RAWDATA回溯
,33,3,,第33篇評論找不到，得用RAWDATA回溯
,34,3,,第34篇評論找不到，得用RAWDATA回溯
,35,5,,第35篇評論找不到，得用RAWDATA回溯
,36,4,,第36篇評論找不到，得用RAWDATA回溯
,37,1,,第37篇評論找不到，得用RAWDATA回溯
,38,5,,第38篇評論找不到，得用RAWDATA回溯
,39,5,,第39篇評論找不到，得用RAWDATA回溯
,40,5,,第40篇評論找不到，得用RAWDATA回溯
,41,4,,第41篇評論找不到，得用RAWDATA回溯
,42,4,,第42篇評論找不到，得用RAWDATA回溯
,43,3,,假日的時間裡有供應餐食。吃完餐後還可以做DIY做個紀念品帶回家。需要買入門票，成人每人一百元的門票費用。可十足全額抵扣消費。這樣滿合理的。難怪進園時都看見每位出來的人都隨手帶著一份盆栽或禮物離開。從門口開始，一直到進入園區後開始參觀。動線沒有很明確。音樂旋律選的不錯但是音質不好。尤其門口那些植物，感覺也沒有呈現生氣盎然的模樣。乾澀的樣貌像是沒有被好好照顧。一樓有用餐區與DIY區。二樓有規劃閱讀區。有些書架上的書籍很凌亂。國人的公民與道德真的需要再加強。當然園區管理人員也要善加規勸。不要為了營利而亂無章法，因為就是這樣，才讓我們總是認為外國比較好玩比較有規劃。說穿了就是消費者需要被教育而經營者也有教導的責任與規章。短期不利長期而言才是視野。硬體的設備可以再細緻化，大電風扇的定位與修飾，角落機車擺放感覺亂入。飲料區的飲料，換了一杯香草拿鐵，口味就像是一般巷口的早餐飲料。有點可惜。這樣的觀光工廠要作長遠必須要非常的用力愛護草本。
,44,5,,第44篇評論找不到，得用RAWDATA回溯
,45,4,,喜歡植物的人可以去裡面參觀活動一下～有需要花$100元的門票費用但是裡面的抵掉消費 例如飲料 周邊產品 買植物等等還滿多選擇的雖然沒有入內用餐 但是園區整體還不錯花草跟多肉植物都有一些 還有一點造景讓人拍照也有看到給小朋友的玩具車 而且提供的很多除了大人可以休息一下 帶小孩的家長也很適合去當然也像有些人反應覺得植物種類不夠多或是有點髒亂但是我覺得進去裡面吹吹冷氣 做一下 拍拍照也是很不錯的很多花草都照顧的不錯廁所空間很大而且環境乾淨整潔現在裡面還有牛舌餅95折卷可以拿取作為使用 商家有互相合作還不錯二樓上面也有一點造景可以拍照有個地方下午兩點後才開放 要注意一下時間
,46,3,,第46篇評論找不到，得用RAWDATA回溯
,47,2,,第47篇評論找不到，得用RAWDATA回溯
,48,4,,喜歡花花草草的可以塞行程在這邊～提供餐飲服務，園區說大不大，但也不小可以好好欣賞每一顆植物如果沒興趣來這邊應該會很無聊入園費$100 可以抵銷飲食或是購買植物費用是可以來走走晃晃的地方
,49,4,,第49篇評論找不到，得用RAWDATA回溯
,50,5,,第50篇評論找不到，得用RAWDATA回溯
,51,5,,第51篇評論找不到，得用RAWDATA回溯
,52,5,,第52篇評論找不到，得用RAWDATA回溯
,53,2,,外觀全白建築物很美很有設計感，綠色植物也很相襯。進去整個幻滅了空間雜亂，擺設很low感覺建築設計跟後面經營的是不同人金玉其外，敗絮其內。整體逛完比較像很多植物的大賣場gomagi訂了雙人午餐Buffett，要給太太美麗的體驗還照著說明事先打去訂位。當天到後根本沒有Buffett（訂位訂假的喔～）用餐劵只能兌換同價位餐點，我馬上用gomagi退費Buffett 跟排餐是完全不同的用餐方式……內部管理，感覺很隨便很現代很漂亮的外觀，搭配超反差的內部經營模式怕景點評價很差的，看看我的評論，做好心理建設再去比較不會期待越大失望越大門票100便宜，還可以抵消費100元水果剉冰不值這個價位剉冰攤賣的麵包反而很好很好吃。
,54,4,,100元的入園費可全額抵消費一進門孩子就被玩具車給困住溫室綠建築 大片日光灑落在天空步道 香草植物飄香 療癒了先前的慌亂適合當雨備景點
,55,4,,第55篇評論找不到，得用RAWDATA回溯
,56,4,,第56篇評論找不到，得用RAWDATA回溯
,57,3,,自助巴食物普通選擇性不算多，食物也是基本盤宜蘭三寶、滷味、醉蝦都還行西魯肉配芋頭米粉好吃冰淇淋很棒———————————香草類的周邊商品很多增加對於香草的了解及功能但是有些好像過於誇大產品功能持保留態度———————————園區很涼很舒服，空間不算擁擠步道很美，值得前往———————————手作盆栽蠻好玩得帶個盆栽心情很好
,58,5,,第58篇評論找不到，得用RAWDATA回溯
,59,3,,第59篇評論找不到，得用RAWDATA回溯
,60,5,,第60篇評論找不到，得用RAWDATA回溯
,61,2,,第61篇評論找不到，得用RAWDATA回溯
,62,5,,第62篇評論找不到，得用RAWDATA回溯
,63,5,,第63篇評論找不到，得用RAWDATA回溯
,64,5,,第64篇評論找不到，得用RAWDATA回溯
,65,1,,第65篇評論找不到，得用RAWDATA回溯
,66,4,,沒看過評論就來體驗他的自助餐，吃完的感覺並不像評論上講的這麼不好。自助餐中式西式都有，比較特別的是有一攤滷味，有提供入味的滷蛋，清理的很乾淨的大腸，油脂都有去除乾淨的豬皮，肝連等等，都是現滷的，自助吧的部分餐點也都是補的很快，不會有空盤在檯面上，一般自助吧比較不常見的有酥炸柳葉魚，炸魷魚，櫻花蝦米糕等等，算是蠻不一樣的，食材雖然不到非常多種類，但是感覺都是會吃到的，不會讓人有濫竽充數的感覺，炸物的保鮮也做的還不錯，吃到的都是酥脆燙口，沒有冷掉的狀況，所以整體的用餐感覺是還不錯。但是館內用的是自然的降溫法，所以沒開冷氣，在屋頂用水降溫，室內種植花草，大型電扇通風，夏天的溫度還是稍微高了一些，有時候吃一吃汗就流下來了，雖然不開冷氣是個題材，但是對於夏天怕熱的人來說這間餐廳就要稍微考慮一下，別在大熱天來用餐。
,67,4,,第67篇評論找不到，得用RAWDATA回溯
,68,1,,第68篇評論找不到，得用RAWDATA回溯
,69,4,,第69篇評論找不到，得用RAWDATA回溯
,70,3,,第70篇評論找不到，得用RAWDATA回溯
,71,3,,第71篇評論找不到，得用RAWDATA回溯
,72,4,,第72篇評論找不到，得用RAWDATA回溯
,73,3,,動線規劃的很好，能感受到經營者的用心！可惜能購買的植物盆栽和商品都太少原本想購買香草類植物，但品項實在太少了！只能用門票抵扣完就沒能多選擇有些可惜，場地很大應該要多放些商品會更好
,74,5,,第74篇評論找不到，得用RAWDATA回溯
,75,5,,100元門票可抵園內消費，我和朋友是換了麵包。 這次去發現更加綠意盎然。香草植物我覺得並不多，反倒是園主持續引進體積龐大的桂花以旱地拔蔥之姿矗立各處。 如同逛花市，你若只想買某樣東西，會覺得人擠人，只去逛幾家店，心中只去比價和物品，花市就只是商店。以輕鬆心態各個角落踱步，坐下來休憩，跟朋友聊聊天，看看盆栽，造景，聞聞各種香花。它塑造一個可以歇會兒的環境，一百元門票是贊助它的營運維護，何況還可以換點小餐飲XD  總結：略高於物有所值。單獨驅車前來香草菲菲，未必是必需行程，加上旁邊的金車威士忌酒廠一起逛則大力推薦！
,76,5,,第76篇評論找不到，得用RAWDATA回溯
,77,5,,第77篇評論找不到，得用RAWDATA回溯
,78,5,,第78篇評論找不到，得用RAWDATA回溯
,79,4,,第79篇評論找不到，得用RAWDATA回溯
,80,1,,DIY老師今天似乎心情不佳對待孩子沒耐性 可以說清楚一點等待孩子一下嗎連家長在一旁都要消花老師的話再做了怎會這麼沒耐心呢還是朋友介紹來的真的是花錢受氣
,81,2,,原本以為會有滿山谷的香草，結果是一個大型蒸氣室，汗水狂噴啊～📌 植物量很少、環境空曠但非常悶熱📌 餐點超級普通價格要420加一成不過沒有參與手作，就不太清楚了
,82,4,,第82篇評論找不到，得用RAWDATA回溯
,83,5,,第83篇評論找不到，得用RAWDATA回溯
,84,2,,"建議須讓民眾購票入場時段,需誠實告知內部狀況,下午4:30買票入內,沒有網友說的一進門就有香氛味道也沒音樂表演,連販售麵包的地方也關了,沒看到DIY活動,只看到有新人在彩排婚禮,感覺很差,一副準備下班關門的樣子,裡面沒甚麼人可是空氣卻很悶,售票員沒事先告知有新人在彩排,這樣的狀況還需買票入內看不認識的新人彩排婚禮,非常失望,五人入內花了五百元買門票,雖然可全額抵消費,但是真正想買的麵包沒營業所以沒買到,點了飲料坐在位置上面喝時還有三隻螞蟻爬到身上,實際上5點後是不用門票的,若只是單純好奇想參觀,5點後再來就好了"
,85,5,,第85篇評論找不到，得用RAWDATA回溯
,86,2,,第86篇評論找不到，得用RAWDATA回溯
,87,3,,第87篇評論找不到，得用RAWDATA回溯
,88,4,,第88篇評論找不到，得用RAWDATA回溯
,89,2,,員工都很親切，但是室內無冷氣一進去是販售一些小植物空間不大 天空步道也有開放時間要查清楚再來整個園區沒什麼東西好逛 只看到一堆人在吃buffet⋯ 如果不是來用餐 可能會有些失望！
,90,5,,平日1-2點來沒什麼遊客所以逛起來非常舒服 隨便拍都是美照 綠建築加分
,91,5,,第91篇評論找不到，得用RAWDATA回溯
,92,3,,第92篇評論找不到，得用RAWDATA回溯
,93,5,,第93篇評論找不到，得用RAWDATA回溯
,94,3,,第94篇評論找不到，得用RAWDATA回溯
,95,5,,第95篇評論找不到，得用RAWDATA回溯
,96,3,,空間是看網路照片的想像實際沒有想像的那麼美餐點不喜歡義大利麵是冷的雞翅很老
,97,1,,"滿心期待到香草用餐以及觀賞植物但裡面的植物我覺得需要,專人規劃!!! 只有角落一區適合拍照,其他區 真的不行至於用餐, 當天有其他旅行團一起共用午餐,取餐大排長龍,人手不足上菜速度無法配合上客人取餐速度,這樣用餐品質真的有待加強!!!"
,98,5,,已經第二次回訪，適合愛擺拍網美照的朋友(只要你不執著有沒有看到大量香草）真的非常好拍，一人100元門票可折抵園內消費集資大家門票錢了兩盆植物可安排1-2小時擺拍XD
,99,4,,第99篇評論找不到，得用RAWDATA回溯
,100,2,,第100篇評論找不到，得用RAWDATA回溯
,101,5,,第101篇評論找不到，得用RAWDATA回溯
,102,5,,第102篇評論找不到，得用RAWDATA回溯
,103,2,,第103篇評論找不到，得用RAWDATA回溯
,104,1,,第104篇評論找不到，得用RAWDATA回溯
,105,1,,第105篇評論找不到，得用RAWDATA回溯
,106,5,,第106篇評論找不到，得用RAWDATA回溯
,107,3,,第107篇評論找不到，得用RAWDATA回溯
,108,4,,第108篇評論找不到，得用RAWDATA回溯
,109,4,,第109篇評論找不到，得用RAWDATA回溯
,110,4,,第110篇評論找不到，得用RAWDATA回溯
,111,1,,很普通花草類植物稀少大概逛不到半小時就逛完了室內沒有冷氣門票100元可抵消費但物品少也不曉得要買什麼東西不值得來逛
,112,4,,第112篇評論找不到，得用RAWDATA回溯
,113,3,,第113篇評論找不到，得用RAWDATA回溯
,114,3,,第114篇評論找不到，得用RAWDATA回溯
,115,4,,門票100可以全抵消費。奶酪好吃，上面的果醬超棒，可以吃到很原本的果肉。門票可以抵盆栽、麵包、飲料、精油、洗面乳等天然植物加工商品。2樓的步道植物很漂亮。不過個人覺得並沒有太多香草的介紹。只有一些盆栽，跟一個不大的芳香體驗館。有餐廳但是沒吃過。
,116,4,,第116篇評論找不到，得用RAWDATA回溯
,117,4,,第117篇評論找不到，得用RAWDATA回溯
,118,4,,1.有停車場，好停車。2.沒有冷氣，只有風扇。3.要收門票$100（可抵任何消費）。4.可以DIY。薰衣草奶茶，好喝。喝起來不覺得喉嚨有負擔的感覺！（個人感受）
,119,5,,第119篇評論找不到，得用RAWDATA回溯
,120,5,,第120篇評論找不到，得用RAWDATA回溯
,121,2,,園區設施普通花種類沒有很多100元可以折抵消費 剛好可以買一杯飲料但是飲料很小杯 點了巧克力牛奶但是味道非常淡很像巧克力水但是廁所非常乾淨總體來說覺得票價沒有很值得
,122,5,,第122篇評論找不到，得用RAWDATA回溯
,123,5,,第123篇評論找不到，得用RAWDATA回溯
,124,5,,很漂亮的景點裡面滿滿各式各樣的花種可以參觀還有天空步道能夠漫步在天空花園中也有buffet可提供用餐環境舒適的綠建築適合男女朋友 闔家來看看走走
,125,4,,第125篇評論找不到，得用RAWDATA回溯
,126,5,,第126篇評論找不到，得用RAWDATA回溯
,127,5,,第127篇評論找不到，得用RAWDATA回溯
,128,5,,第128篇評論找不到，得用RAWDATA回溯
,129,4,,第129篇評論找不到，得用RAWDATA回溯
,130,4,,第130篇評論找不到，得用RAWDATA回溯
,131,5,,第131篇評論找不到，得用RAWDATA回溯
,132,5,,第132篇評論找不到，得用RAWDATA回溯
,133,1,,第133篇評論找不到，得用RAWDATA回溯
,134,5,,第134篇評論找不到，得用RAWDATA回溯
,135,2,,第135篇評論找不到，得用RAWDATA回溯
,136,5,,第136篇評論找不到，得用RAWDATA回溯
,137,4,,第137篇評論找不到，得用RAWDATA回溯
,138,4,,第138篇評論找不到，得用RAWDATA回溯
,139,4,,第139篇評論找不到，得用RAWDATA回溯
,140,5,,第140篇評論找不到，得用RAWDATA回溯
,141,4,,第141篇評論找不到，得用RAWDATA回溯
,142,5,,第142篇評論找不到，得用RAWDATA回溯
,143,4,,第143篇評論找不到，得用RAWDATA回溯
,144,4,,第144篇評論找不到，得用RAWDATA回溯
,145,5,,第145篇評論找不到，得用RAWDATA回溯
,146,4,,第146篇評論找不到，得用RAWDATA回溯
,147,5,,第147篇評論找不到，得用RAWDATA回溯
,148,4,,第148篇評論找不到，得用RAWDATA回溯
,149,3,,第149篇評論找不到，得用RAWDATA回溯
,150,4,,第150篇評論找不到，得用RAWDATA回溯
,151,4,,第151篇評論找不到，得用RAWDATA回溯
,152,4,,第152篇評論找不到，得用RAWDATA回溯
,153,3,,一個走馬看花的地方門票可抵套餐消費可以買多肉植物了解不同的花種餐飲方面櫻桃鴨是厚切鴨肉麵的份量很足夠美中不足的是空氣中一直瀰漫著怪味道
,154,5,,第154篇評論找不到，得用RAWDATA回溯
,155,4,,第155篇評論找不到，得用RAWDATA回溯
,156,3,,第156篇評論找不到，得用RAWDATA回溯
,157,5,,第157篇評論找不到，得用RAWDATA回溯
,158,5,,第158篇評論找不到，得用RAWDATA回溯
,159,4,,第159篇評論找不到，得用RAWDATA回溯
,160,4,,第160篇評論找不到，得用RAWDATA回溯
,161,5,,第161篇評論找不到，得用RAWDATA回溯
,162,5,,第162篇評論找不到，得用RAWDATA回溯
,163,4,,第163篇評論找不到，得用RAWDATA回溯
,164,5,,第164篇評論找不到，得用RAWDATA回溯
,165,3,,門票一個人100可以抵館內消費，盆栽大多一盤都是＄50還算蠻便宜的，狗狗入內要牽繩，只有天空步道狗狗不能落地。手工DIY香皂200元起。盆栽DIY 100元起。館內沒有開冷氣，只有用大量的電風扇跟水霧式設備就挺涼快的囉！很可惜今天沒有吃到自助式的餐點。到處都有精油的手工皂可以使用，還有精油的擴香瓶，到處都香香的很令人放鬆跟療癒的氛圍。工作人員都非常的和藹可親。雖然室內設施不多但是環境很寬廣，進入官網的FB或下載App給予評價都可以獲得一包香草薄荷的茶包唷！
,166,4,,第166篇評論找不到，得用RAWDATA回溯
,167,3,,第167篇評論找不到，得用RAWDATA回溯
,168,4,,第168篇評論找不到，得用RAWDATA回溯
,169,5,,第169篇評論找不到，得用RAWDATA回溯
,170,5,,第170篇評論找不到，得用RAWDATA回溯
