_id,sid_comment,star,time,comment
,1,5,,第1篇評論找不到，得用RAWDATA回溯
,2,5,,第2篇評論找不到，得用RAWDATA回溯
,3,5,,第3篇評論找不到，得用RAWDATA回溯
,4,3,,第4篇評論找不到，得用RAWDATA回溯
,5,5,,🍊宜蘭／旅遊／手作﻿📍橘子鄉蜜餞形象館﻿🏠 宜蘭縣宜蘭市梅洲二路33號﻿☎️039285758﻿⏰營業時間 週一至週日 8:30 ~ 17:30（全年無休）﻿🎫材料每份150元，製作時間20分鐘﻿⭐4.5 ／5分(推）﻿❤️一到園區入口，就猶如來到偶像劇拍攝場景，大片的落地可以清楚看見每個館的裝潢，帶給每位客人不一樣的視覺享受，每位客人來到形象館都能喝到免費的生津金棗茶，各式果乾的試吃，用試吃與詳細介紹表達橘之鄉天然、健康、無添加的產品。﻿﻿讓女生最期待的就是花150元即可自製一罐蜜餞回家，時間也不會很久20分鐘就能搞定，教室周圍的擺設也是非常好拍照，用圖解的方式從「選果」、「醃漬」、「針刺」、「 漂水」、「殺菁」、「真空糖漬」、「熱風乾燥」、到「衛生包裝」相信告訴每一位消費者，橘子鄉的堅持。﻿﻿來宜蘭不仿撥1小時來橘子鄉逛逛拍拍照，除了手作DIY也可以帶帶伴手禮回家。﻿﻿📜 做呷ㄟ的東西，一定要做自己敢吃的喔—橘子鄉﻿﻿#宜蘭 #traveling #traveler #trip #poptravel #Taiwan #Yilan #orange #DIY #橘子鄉 #東部 #網美 #手作 #蜜餞 #台灣 #gogoro #Letsgogoro #天然 #金棗﻿
,6,4,,裡面的服務人員好客氣，又一直叫人試吃，害我們一群人買了一堆，（妳們就是太好，害我們買太多，要不然真想給妳們五星）門口的茶，好喝，推…推…去一定要喝的
,7,4,,第7篇評論找不到，得用RAWDATA回溯
,8,4,,第8篇評論找不到，得用RAWDATA回溯
,9,4,,第9篇評論找不到，得用RAWDATA回溯
,10,4,,第10篇評論找不到，得用RAWDATA回溯
,11,4,,第11篇評論找不到，得用RAWDATA回溯
,12,4,,第12篇評論找不到，得用RAWDATA回溯
,13,4,,適合拍照的觀光工廠雖然不打停好車逛完大概10分鐘左右但是一群人一起來的話牆外以及diy區都蠻好拍照的適合三五好友或是情侶來這邊放鬆拍照一下當然如果要買蜜餞也是不錯的選擇因為這附近蠻多觀光工廠的所以可以安排一個下午在這附近一直拍照累了也有座位區可以吃冰或是吃蜜餞休息一下但由於這次來就是經過看到順便進來沒想到就在裡面拍照拍了20分鐘蜜餞倒是沒有仔細看另外停車可以直接開進工廠內部停車所以很方便推薦經過可以來晃晃拍個照再離開
,14,3,,第14篇評論找不到，得用RAWDATA回溯
,15,5,,第15篇評論找不到，得用RAWDATA回溯
,16,4,,第16篇評論找不到，得用RAWDATA回溯
,17,5,,第17篇評論找不到，得用RAWDATA回溯
,18,3,,第18篇評論找不到，得用RAWDATA回溯
,19,4,,第19篇評論找不到，得用RAWDATA回溯
,20,4,,第20篇評論找不到，得用RAWDATA回溯
,21,5,,雖然沒有很大，但是空間舒適、明亮、乾淨，員工都非常親切，不會有壓迫感，可以下車來走一走！門口試喝的金棗茶很好喝所以也有買回去。
,22,4,,第22篇評論找不到，得用RAWDATA回溯
,23,3,,第23篇評論找不到，得用RAWDATA回溯
,24,4,,第24篇評論找不到，得用RAWDATA回溯
,25,5,,第25篇評論找不到，得用RAWDATA回溯
,26,3,,第26篇評論找不到，得用RAWDATA回溯
,27,4,,第27篇評論找不到，得用RAWDATA回溯
,28,4,,第28篇評論找不到，得用RAWDATA回溯
,29,4,,第29篇評論找不到，得用RAWDATA回溯
,30,5,,第30篇評論找不到，得用RAWDATA回溯
,31,2,,如果帶長輩，可以來看看！帶女友就不建議！但可以帶小孩來放電就是標準台灣為了觀光而設立的觀光景點，簡單說一點文化連結感都沒有。
,32,4,,第32篇評論找不到，得用RAWDATA回溯
,33,4,,第33篇評論找不到，得用RAWDATA回溯
,34,4,,第34篇評論找不到，得用RAWDATA回溯
,35,5,,第35篇評論找不到，得用RAWDATA回溯
,36,5,,第36篇評論找不到，得用RAWDATA回溯
,37,5,,第37篇評論找不到，得用RAWDATA回溯
,38,4,,第38篇評論找不到，得用RAWDATA回溯
,39,5,,第39篇評論找不到，得用RAWDATA回溯
,40,5,,第40篇評論找不到，得用RAWDATA回溯
,41,5,,第41篇評論找不到，得用RAWDATA回溯
,42,3,,第42篇評論找不到，得用RAWDATA回溯
,43,4,,第43篇評論找不到，得用RAWDATA回溯
,44,3,,第44篇評論找不到，得用RAWDATA回溯
,45,5,,第45篇評論找不到，得用RAWDATA回溯
,46,5,,第46篇評論找不到，得用RAWDATA回溯
,47,4,,第47篇評論找不到，得用RAWDATA回溯
,48,5,,第48篇評論找不到，得用RAWDATA回溯
,49,5,,第49篇評論找不到，得用RAWDATA回溯
,50,5,,第50篇評論找不到，得用RAWDATA回溯
,51,5,,第51篇評論找不到，得用RAWDATA回溯
,52,5,,第52篇評論找不到，得用RAWDATA回溯
,53,5,,第53篇評論找不到，得用RAWDATA回溯
,54,5,,第54篇評論找不到，得用RAWDATA回溯
,55,4,,第55篇評論找不到，得用RAWDATA回溯
,56,4,,第56篇評論找不到，得用RAWDATA回溯
,57,5,,很美的伴手禮店舖介紹蜜餞的製程有趣不死板DIY區有參與感餐廳很雅致很不錯的體驗👍
,58,5,,第58篇評論找不到，得用RAWDATA回溯
,59,4,,第59篇評論找不到，得用RAWDATA回溯
,60,3,,第60篇評論找不到，得用RAWDATA回溯
,61,4,,第61篇評論找不到，得用RAWDATA回溯
,62,4,,第62篇評論找不到，得用RAWDATA回溯
,63,5,,第63篇評論找不到，得用RAWDATA回溯
,64,5,,第64篇評論找不到，得用RAWDATA回溯
,65,5,,第65篇評論找不到，得用RAWDATA回溯
,66,4,,第66篇評論找不到，得用RAWDATA回溯
,67,4,,第67篇評論找不到，得用RAWDATA回溯
,68,5,,試喝金棗茶很好喝耶！製作金橘蜜餞DIY 150元30分鐘內可完成❤️很好玩的體驗還買了包金棗回家吃～有巨大版很愛麗絲風格的桌椅可拍照太可愛啦👍
,69,5,,第69篇評論找不到，得用RAWDATA回溯
,70,4,,第70篇評論找不到，得用RAWDATA回溯
,71,2,,第71篇評論找不到，得用RAWDATA回溯
,72,5,,第72篇評論找不到，得用RAWDATA回溯
,73,4,,第73篇評論找不到，得用RAWDATA回溯
,74,3,,第74篇評論找不到，得用RAWDATA回溯
,75,5,,第75篇評論找不到，得用RAWDATA回溯
,76,5,,第76篇評論找不到，得用RAWDATA回溯
,77,4,,第77篇評論找不到，得用RAWDATA回溯
,78,5,,第78篇評論找不到，得用RAWDATA回溯
,79,4,,第79篇評論找不到，得用RAWDATA回溯
,80,5,,第80篇評論找不到，得用RAWDATA回溯
