_id,sid_comment,star,time,comment
,1,pos,4 天前,"米 竟然可以發揮如此多元化的創意 從米 開發成各種多元用途的麻糬 帶動麻糬應用的創新(如具特色的台北市餅) 也讓傳統餅的組合結構升級讓傳統餅也具多層次口感, 麻糬冷凍技術的誕生(好事多 大福,帶動創造流行) 改良麻糬耐烤的技術 能夠讓麻糬滲入烘培市場, 改良麻糬的口感與西點蛋糕相吻合 讓西點的應用再創新  與披薩/冰淇淋/冰粽 多元組合運用 讓食品產業更具創新組合power.  還有 米肥皂 蠻推薦的 買了 還再買..."
,2,neg,1 週前,以銷售為主的觀光工廠，沒有很推薦。東西沒有很特別，價格也還好，並沒有感到有工廠價的優惠。發團客券，滿300送禮物，可能會令人很失望，不推薦湊300。看看就好會給2分是因為柜台結帳人員態度不佳!!
,3,pos,2 週前,免門票，有一些米製餅乾試吃，也有水池給小孩泡泡腳，但是米的特色沒有特別強調，也沒有可以給小孩DIY的部份，感覺只是造景比較美的名產店，希望不要浪費造景和米食特色，可以多發揮
,4,pos,2 週前,服務人員親切，但遇到團體客時好恐怖，一堆人只想試吃，想做造型麻糬DI的散客記得自己開口問
,5,pos,2 週前,"米食消費的地方，有點像以前老人家的休息站，但是有特色的消費（米食）,外面也有泡腳的水池（小朋友應該能玩水吧？）"
,6,3,3 週前,外觀稍嫌老舊，但內部清新別緻，外圍庭園設置不少用餐設施，還考慮到小朋友的遊樂，不錯。產品主要以米食變化為主，這類製品多買些平常當零食不錯的。
,7,neg,3 週前,離開前剛好遇到產品解說順便坐下來聽一下，試吃時，坐遊覽車的熱情招待，一般遊客無視存在直接跳過，也不是沒消費，感覺真差。櫃上服務人員招待還是很周到。
,8,pos,1 週前,停車方便、廁所乾淨、手做好玩、產品種類多、好買！
,9,pos,4 天前,很多米食點，可以試吃，免費進場吹冷氣
,10,pos,3 週前,其實就是販賣食品的地方。不過算是很有誠意，試吃很多，停車跟廁所都很方便。
,11,pos,1 週前,可親子戲水休憩吃喝觀光工廠。有停車位
,12,pos,1 個月前,賣場人員親切溫和不會有讓人不舒服的感覺，商場外面乾淨舒服，還有小水池可以泡腳玩水。
,13,pos,1 個月前,往花蓮會挑此為休息站下國五就到了，米製伴手禮眾多還有DIY課程
,14,pos,1 個月前,中午選擇在這裡用餐，東西意外的好吃不雷，缺點是只能在戶外吃，沒冷氣
,15,pos,2 週前,不怕給試吃，外面還有免費冷泉可以玩跟泡腳
,16,pos,1 個月前,ㄧ米特很用心，就算只有1組客人參加Diy行程，工作人員也有開課，很用心教學。
,17,3,3 週前,可以美拍又有特產試吃，紅豆水冰涼免費喝
,18,3,3 週前,特色米食，糕點升華，用心開發，少了乾餅，烤米果確實好吃。
,19,pos,3 週前,不知道是疫情的關係所以露天泡腳池沒有開放，水臭臭的
,20,pos,2 個月前,免門票 產品都滿平價的還不錯 戶外有戲水區 適合帶小孩來放電.......
,21,pos,1 個月前,戶外泡腳區，小孩還可玩水，廁所、哺乳室乾淨又舒適
,22,pos,2 個月前,可能是因為人潮較少，休憩品質蠻好的，小小孩玩水玩沙餵魚很開心。
,23,pos,3 個月前,一到門口就有親切的服務人員，一半介紹米的相關知識一半是禮品店，禮品種類蠻多的，工作人員會做推銷但不強迫購買，禮品價格適中，整體上環境不錯！旁邊還有簡單的餐點可以品嚐
,24,3,1 個月前,限量試吃. 台灣在地米結合日本的烘烤技術做的伴手禮.
,25,pos,3 個月前,東西好吃，很適合送禮，室內空間大不會有壓迫感，試吃很大方，室外有休息區還有冷泉泡腳，可以溜小孩的地方，大推
,26,pos,3 個月前,胚芽米肥皂是這家工廠的特色。別的地方用酒精消毒，這家進門 先洗手😂😁。是可以吃點心 休息的觀光區
,27,pos,4 週前,去年來過，今年新增做麻糬教學，不錯喔
,28,pos,3 個月前,旅途中休息的地方，又有 介紹各種白米所作的點心，很好吃喔！空間寬敞，服務親切。
,29,pos,4 個月前,玩偶可愛，也有許多佈景能拍照。除了有米類相關的傳統器具，也有各式各樣的米類食品，可以買小點心當伴手，也可以立刻開來吃，好吃！手作麻糬課程很有趣！園區外側的戲水池規劃的很棒，小朋友們都玩瘋了。來宜蘭玩的話，非常適合與家人來這裡走走逛逛。
,30,pos,3 個月前,東西不貴空間很適合小孩跑跑跳跳還可以餵魚但缺點 就是魚飼料只能買50元的食物才能拿一小小包，一下就沒了，又不能抵扣店內的購物消費，只能買點心類。
,31,pos,3 個月前,環境幽 雅美麗 服務人員態度良好 果凍好吃 草莓大福好吃 白色麻糬好吃 冰過了以後 而且不會變硬 很不錯
,32,3,1 個月前,動線不太好，需要逛一下才知道
,33,pos,1 週前,文化推廣可以再多點介紹會更好
