_id,sid_comment,star,time,comment
,1,5,,很好買伴手禮的一個店家推薦　有點小遠🎁年輪跟蜂蜜蛋糕味道濕潤香濃很好吃口味很多選擇，可惜當時買太少回去吃了😅我覺得裡面每位服務生都很棒沒有評論上說的態度這麼糟，會主動問想要試吃甚麼🍩口味跟解說本產品的說明及保存方式其他人會給負評是因為，我去的時候⛔一推包車的觀光客只坐在休息區喝免費的飲料等著試吃的蛋糕如果我是裡面的🍰員工我也會臭臉不想讓你們試吃，會買的也只有幾個人聽到有試吃一窩蜂衝過來🐝可以有點風度好嗎！員工一眼就能看出來你是來試吃的還是👁️來買伴手禮，自己也是服務生所以我知道會有這樣的舉動我覺得很正常👌沒有不好！    麻煩體諒一下光試吃就快被你們吃垮了🔨
,2,5,,第2篇評論找不到，得用RAWDATA回溯
,3,4,,第3篇評論找不到，得用RAWDATA回溯
,4,1,,服務人員態度不佳，試吃也不太願意給，現場很多人，東西都切好了，但是都不擺出來，既然服務人員都說了，可以試吃，但是東西不拿出來，臉色不佳，尤其是在給蜂蜜蛋糕那位，嘴上喊著可以試吃，但是放試吃的盤子一直是空的，還要我上前去問才不甘願的臉拿出來，如果一開始就不要說可以試吃那還無所謂，但既然講了還不拿是怎麼樣，旁邊甚至還有人說都要不到？東西好不好吃一回事，但是這樣，誰想買，我爸還說買一些回去送人啊，買一些回家吃，我就告訴他不用了，連試吃都不拿出來，還要用要的，在好吃我都不買，重點不是產品，是那個小姐！
,5,4,,第5篇評論找不到，得用RAWDATA回溯
,6,3,,第6篇評論找不到，得用RAWDATA回溯
,7,3,,最好吃的就是半熟乳酪塔了完全是購物的地方，適合婆婆媽媽來老公可以放在場內場外的椅子上輕鬆又愜意，但我覺得失去觀光工廠的意義完全是買東西而已，給三星
,8,5,,第8篇評論找不到，得用RAWDATA回溯
,9,5,,第9篇評論找不到，得用RAWDATA回溯
,10,4,,第10篇評論找不到，得用RAWDATA回溯
,11,4,,第11篇評論找不到，得用RAWDATA回溯
,12,5,,免門票免停車費停車位大好停車適合避暑看看年輪蛋糕跟銅鑼燒製程的好地方
,13,1,,第13篇評論找不到，得用RAWDATA回溯
,14,3,,第14篇評論找不到，得用RAWDATA回溯
,15,5,,第15篇評論找不到，得用RAWDATA回溯
,16,5,,第16篇評論找不到，得用RAWDATA回溯
,17,5,,第17篇評論找不到，得用RAWDATA回溯
,18,4,,第18篇評論找不到，得用RAWDATA回溯
,19,5,,第19篇評論找不到，得用RAWDATA回溯
,20,3,,第20篇評論找不到，得用RAWDATA回溯
,21,3,,第21篇評論找不到，得用RAWDATA回溯
,22,4,,第22篇評論找不到，得用RAWDATA回溯
,23,4,,第23篇評論找不到，得用RAWDATA回溯
,24,3,,第24篇評論找不到，得用RAWDATA回溯
,25,1,,第25篇評論找不到，得用RAWDATA回溯
,26,5,,第26篇評論找不到，得用RAWDATA回溯
,27,3,,第27篇評論找不到，得用RAWDATA回溯
,28,5,,第28篇評論找不到，得用RAWDATA回溯
,29,4,,第29篇評論找不到，得用RAWDATA回溯
,30,3,,第30篇評論找不到，得用RAWDATA回溯
,31,3,,第31篇評論找不到，得用RAWDATA回溯
,32,4,,第32篇評論找不到，得用RAWDATA回溯
,33,3,,第33篇評論找不到，得用RAWDATA回溯
,34,4,,第34篇評論找不到，得用RAWDATA回溯
,35,1,,第35篇評論找不到，得用RAWDATA回溯
,36,4,,第36篇評論找不到，得用RAWDATA回溯
,37,5,,第37篇評論找不到，得用RAWDATA回溯
,38,5,,第38篇評論找不到，得用RAWDATA回溯
,39,3,,第39篇評論找不到，得用RAWDATA回溯
,40,2,,第40篇評論找不到，得用RAWDATA回溯
,41,4,,第41篇評論找不到，得用RAWDATA回溯
,42,5,,年輪蛋糕🍰觀光工廠提供試吃服務和氣泡水，服務人員也很熱情貼心推薦巧克力年輪和橘蜜蛋糕🍰很適合當伴手禮分送給親友
,43,5,,第43篇評論找不到，得用RAWDATA回溯
,44,4,,第44篇評論找不到，得用RAWDATA回溯
