_id,sid_comment,star,time,comment
,1,neg,2 天前,超不推，一進去看到樂高的忍者系列展示⋯心就涼一大半，後面的東西更是⋯，如果是帶小朋友來體驗一下，勉強可以.…，只是外面排隊真的很曬！
,2,pos,1 週前,好玩！但假日人多，平日可能會好一些。如果對忍者有興趣，或喜歡拍照的，可以玩玩看。現場會發現年輕人玩的比小朋友都HIGH。沒有限制停留時間，這點還不錯，但秩序就要看公德心了，大家排隊輪流，服務人員算多，但又要教導忍術，又要維持秩序，如果剛好一群人玩的太興奮，再多服務人員也不夠。一旁的忍者餐廳座位不多，價格可以，炸物還不錯吃，有特色。不過因為假日人太多，時間等稍久。出場時會送一個手裏劍飛鏢，服務人員告知因台灣有槍砲彈藥管制法，因此只能送軟質的，但為了讓這手裏劍飛鏢能射穿保麗龍或紙板等物體，因此特地開模生產，並調高了飛鏢的硬度，兼顧了實用性與安全性，算是用心。小朋友玩完忍者村再到旁邊的龍潭湖，拿著飛鏢，每個人都變身忍者了，跑來跑去。宜蘭地區不少景點很新奇有趣，帶給小朋友無窮無盡的想像空間。我的建議會是，平日來玩CP值會比較高，因為沒有限制時間，每個項目都可以玩的很盡興。非常有特色也很有創意的宜蘭景點。
,3,neg,3 天前,對於大人而言很無聊，射飛鏢走木樁什麼的，大概15歲以下比較適合來，好處是冷氣很涼，但$220的門票太貴，光是門口排隊就夠你曬的，去過一次就不會想再去了。
,4,pos,2 天前,很適合帶小朋友來參觀..各種小遊戲可以闖關..也有廣大的停車場可以停車..不用擔心沒有車位...現場還有親切服務人員帶位闖關..離場後也可以換精美禮物..
,5,pos,1 週前,一開始沒特別查裡面的設施或者說是參觀的內容，假日門票220可能會覺得有一點偏貴，但實際進去之後，發現整個動線規劃和各個關卡都滿特別的，是一些關於忍者的遊戲關卡，每關都可以親自體驗，也有人員的講解，當天除了在門口的人員不知道是否因為太熱，感覺上態度沒那麼好之外，在各個關卡及其他中間遇到解說的人員態度都很不錯，是個到宜蘭很值得去體驗看看的地方，推薦給大家！！！特別適合一群朋友一起去或者家長帶著孩子去也很不錯！
,6,3,1 週前,"應該叫忍者屋，不是村.....真的很小，雖然有很多遊戲可以體驗，適合幼稚園大班到國小吧？不喜歡體驗的大人，可能會覺得無聊.票價要200，最後會換一個手裡劍（飛鏢）,但還是感到空虛."
,7,neg,2 週前,只適合有帶小朋友來玩的地方但又限制未滿18歲的小孩要成人陪同...一次入場人數多達約20人（含小孩）但一開頭的3個房間空間超小，很幼稚園公園設備的物品...直到第4個房間後   才開始勉強算是有忍者用品的器材在使用，但每個器材並沒有規劃好遊戲時間或次數，場內工作人員明顯不足！如果遇到一整隊都是大家庭在玩，完全就沒有排隊玩的這件事....會等超久。最後出口的地方  很擁擠空間規劃不夠   又硬塞的商品區和拍照區，玩到後面真的會像遇過公園小朋友的大混戰搶遊戲器材的畫面，而且是大小年齡層的都混合一起，沒有工作人員居中引導分流，看誰暴力或是大隻就搶者晚到爽.....出場離開給每個人一個軟飛鏢 當記念品以一個宜蘭地區   同類似適合帶小孩子玩的點相比，去過邱X準 射擊館後，就會覺得這真的很差，只有大熱天排隊等至少40分鐘的回憶....（連假4天，人潮算多）
,8,pos,5 天前,服務人員都很熱心，說明也非常詳細，原本以為不會花很多時間進行闖關，卻不知不覺就待一個小時以上了，連我們一群大男孩都玩的很開心！
,9,3,2 週前,類似台北華山藝文特區辦的特展形式，一區一區循序體驗前進，但場地實在小，一下就結束了。僅適合小孩
,10,pos,1 個月前,綜藝三國智，飢餓遊戲，愛玩客等知名電視節目都來取景！「知識＋遊戲＋拍照」的綜合型景點，台灣唯一的忍者主題修練館，超級有特色又好玩！但是請特別注意，工作人員都是清一色高顏質的女忍者，因此面對工作人員有3不原則：不能搞笑，不能搭訕，不能要電話。否則全團人員會遭到忍者奇襲圍攻。想要突破重圍，必須修煉好每項忍術，拿到上忍證書，才是順利畢業！如果沒有運動細胞，反應遲緩，對忍者沒性趣，懶的動手，千萬別來！因為你會覺得無聊，畢竟這是嚴肅的忍者修練場所，畢竟人要有自知之明。如果沒自知而前來修練，必將體無完膚，就像五音不全卻跑去歌唱比賽，體重破百卻跑去參加選美，出門沒照鏡子就跑去告白。有自信是好事，但自負卻會壞了事。不是你不適合景點，而是景點不適合你。行程安排：先去龍潭湖游泳，再去潭笑天地笑兩聲，再到宜蘭忍者村修練，再去忍者餐廳解飢，接著去渭水之丘拍地心引力傾斜的照片，再爽爽鳥瞰整個宜蘭，最後去礁溪泡湯吃甕窯雞，這就是人生。今天非常努力只拿到中忍，我盡力了，我不怪誰。謝謝妳，宜蘭忍者村。如果覺得留言太糟糕，還請別忘幫忙按個讚。
,11,neg,1 個月前,"不太推，十個關卡門票220，有的關卡只是類似小小攀岩和木板...就算兩個，有些還不錯，但不會想就是，園區很小非常小不大，一兩個小時一個場次，不是隨時進去，看評論4.1星被騙過來，看完menu 介紹直接走人，建議看完售票口的menu 再決定要不要買，基本上爸媽帶一小孩，三個人660，小孩很開心,基本上只有小孩會去玩，如果覺得值得就OK"
,12,neg,1 個月前,小朋友根本沒辦法玩，人一多時前排全站滿大朋友，售票員說小小朋友也可以玩，結果站在那一群人瘋狂射手裡劍，小朋友站在那就只是危險而已！一個人200多真的很沒價值！超級不推！！（園區超小，完全沒規劃！）不要來浪費錢，去其他地方玩吧！
,13,3,1 個月前,可能是我的期待太大，不過小孩子還是玩得很開心，規模小，兩百多門票也的確差不多如此，至於餐廳…嘴會刁的就別來吃吧！粗飽可以。
,14,pos,2 週前,完全是室內的一個遊樂區有小孩子的人來，應該是一個很不錯的放風地點有專人講解，然後有很多的小遊戲可以玩結束的時候還有忍者證書以及手裏箭拿（一人一張，一人一個）
,15,neg,1 個月前,業配買的太嚴重......真的只是適合小孩來，看到所謂的“迷蹤步”區根本心死，220門票搶我比較快，純大人團請慎入
,16,neg,1 個月前,假日票價220元，需分批等候進場，但一批的人數太多，場內各個體驗環境皆過於擁擠。道具多是塑膠軟片，成人普遍覺得尷尬沒誠意。
,17,pos,1 個月前,關主會先講解一下忍者是什麼，忍者有點像是日本戰國時代的007情報員，必須要敵軍那裡偷取情報，所以必須熟悉各種隨身武器，遇到攻擊或危險時也能全身而退，也就是說忍者其實是比日本武士還要厲害的角色啊!!挑戰完忍術 10 大關卡別忘了算一下分數唷，忍者檢定級別分為三級：上忍、中忍、下忍。每一個檢定級別都會得到一張「級別認證卡」。來看看自己是哪個級別喔。體驗完忍者術關卡後，一旁還有餐廳可以去享用忍者餐，有得玩有得吃，小孩有多愛呀！！！關主會先講解一下忍者是什麼，忍者有點像是日本戰國時代的007情報員，必須要敵軍那裡偷取情報，所以必須熟悉各種隨身武器，遇到攻擊或危險時也能全身而退，也就是說忍者其實是比日本武士還要厲害的角色啊!!挑戰完忍術 10 大關卡別忘了算一下分數唷，忍者檢定級別分為三級：上忍、中忍、下忍。每一個檢定級別都會得到一張「級別認證卡」。來看看自己是哪個級別喔。體驗完忍者術關卡後，一旁還有餐廳可以去享用忍者餐，有得玩有得吃，小孩有多愛呀！！！
,18,pos,1 個月前,不用飛日本，在台灣也可以體驗一日忍者，剛好另一半一直是一個超愛動漫的大孩子，說了好多次想當忍者的夢想（超好笑），沒想到在宜蘭礁溪就有忍者的修練道場，前幾天去完後發現全都是室內活動，所以如果要去宜蘭怕下雨這裡也是好選擇！宜蘭礁溪真的很頻繁會下雨，如果遇到下雨天可以來這邊玩，這裏也很好拍照打卡~我們足足拍了上百張照片!!服務的忍者們也好好笑XD 過程超好玩!! 推推
,19,pos,2 個月前,非常受小孩歡迎的宜蘭忍者村來囉!!好多好玩的忍者訓練課程，結訓合格就有機會成為火影忍者  !!!! 哈哈!! 日本的忍者是大小朋友都非常喜歡的人物，想要一探忍術的奧秘，學習忍者必備的技能，來這裏就對了!! 保證全家大小都可以玩的很開心館內也有忍者周邊商品，滿多部分由日本帶回，滿有意思的!!小小忍者迷可別買太多啊，留一些給別人買啊！一旁附設忍者餐廳，這裏提供拉麵、炸物、點心、漢堡、甜點等~~大小朋友訓練完後一定會肚子餓吧，來這裏大吃一頓補充體力吧
,20,pos,2 個月前,宜蘭忍者村備有廣大的停車場，不用擔心不方便停車果然是最近很夯的景點，有控館入場人數，內部空間不會太擁擠，也不用擔心要排隊體驗闖關遊戲，訓練手眼協調的走壁術，這可以忍者必備的功夫，這樣才能飛簷走壁，來去自如 對小朋友來說各種體驗都很新奇有趣，但大人可能就要保持童心才能體會~我是比較幼稚的媽媽，覺得還滿有趣的!!
,21,neg,1 個月前,沒有深度的忍著村。廣告不實，五星評價買得很嚴重，建議想前來當盤子的情侶三思，深山途經墳墓區，沒事別來，很陰森。
,22,pos,2 個月前,宜蘭忍者村領先日本，讓你到宜蘭就能比去日本更深度地體驗忍者。忍者陀陀螺師父設計了體驗忍者「武器」與「技能」為主的場館，並以科學的「旋轉原理」貫穿全館設施。讓大家不只動手玩得帥，還玩得聰明。包括非常以賴旋轉的「手裏劍」、「鎖鐮」、「迴旋斬」與「迴旋踢」，以及違反常理，需要控制它不旋轉才能練就的「苦無」，歡迎大家來挑戰，修煉你的忍術。不管大人小孩都超不服輸的啦！原本覺得就那樣，結果越玩越起勁，不服輸的勁頭都牙起來惹。忍者都吃些什麼？螺旋丸、元氣彈、五色忍者堡、手裏劍飯糰還沉浸在忍者氛圍的我們，來一頓忍者餐練等級剛剛好。
,23,pos,2 個月前,不用飛日本，在台灣也可以體驗一日忍者。這個全台唯一以忍者為主題的觀光設施好好玩!!! 有十個與忍者有關的不同關卡，好玩又兼具挑戰性，等著你來體驗。重點是，關卡都設在室內，就算在宜蘭多雨的天氣，也是個雨天備案的好景點。無論大人還是小孩都可以玩的超開心喔~
