_id,sid_comment,star,time,comment
,1,3,3 天前,由於經常跑觀光工廠所以相對上 嚴謹一些 琦麗珍珠奶茶文化館看不出專業與霸主之感也沒有珍奶行銷國際是台灣之光的光榮感沒有辦法產生很好的互動跟融入比較像珍奶跟咖啡原料販賣店不 像蠟藝 觀 光 工 廠 一眼望 去 就 看 到 蠟筆城 堡 ，專業 印象深刻。珍 奶 文 化 館 幾本上 沒 有 這 種 感 覺 ，這 麼 大 筆的 投 資 實 在 是 有 點 可 惜，而且品牌意象不明顯，主力產品也模糊。雖然稱之為文化館文化內涵意象不深舊資料文化溯源不道地，搜集也不足珍奶軌跡的介紹也跳痛(tone)參觀動線設計也不流暢尤 其 是 往 三 樓 的 歡 樂 館 是 從 那 是 像逃生門的 樓 梯 走到 三 樓， 感 覺 不怎麼愉悅 ， 走到頂樓其實就是DIY 教室。「試吃」通常是觀 光 工 廠 最 基 本 的 要 求 「可說算是標準配備」， 尤其是賣吃的喝的 。珍 奶 文化 館 的試 喝 很 不 明 顯 ，還 要有服務 人 員 為 你 服 務 才 有 ， 都 是  奶 茶 的 生 產 工廠了， 還 這 麼  小 家 子 氣。 一 般 來說 麥 克 風 廣 播 都 是 針 對 來 賓 比 較 多 ， 像尋找小孩啦 要上遊覽車啦 集合啊 ，想 不 到 他 們 的 廣播 都 是 在 說 請某某 主 管 到 三 樓 去， 某某 人 到 2 樓 。這 會 不 會 太擾 民  了 自 己 按內線 不 就 好 了 ， 有需要這樣嚷嚷?來到珍奶 原料主要生 產 公 司 都 沒 有 辦 法 喝個痛 快 或 是 買個痛快， 有 點 過意不去。珍奶館講綠建築，說 實 在 的 守 護 地 球 的 概 念 很好可是店內買珍奶 還 沒 有 提 供 環 保 吸管 喔 ，沒 有 辦 法 做為業界 表 率，領導品牌架勢跟價值，沒了。真心期在珍奶館可以開創出 獨特優雅的喝珍奶環境。
,2,3,3 天前,停車方便 冷氣夠涼服務態度沒有很親切館內動線規劃的也不是很流暢沒有專業的導覽更沒有吸引人的珍珠故事（雖然有故事館）但感覺就是跟你說：珍珠奶茶怎麼泡的進去出來後並沒有知道喔～～～原來珍珠怎樣 怎樣更奇怪的是叫「珍奶文化館」珍珠卻不好吃 沒咬勁 既定印象中的味道也很不明顯 奶茶也不好喝更不是什麼有名的珍珠奶茶連鎖店的觀光工廠如果是想走走 踩點 沒地方去可以來晃晃但如果是抱著想喝好喝的珍奶還是.......加油！環境算滿乾淨！用餐區位子也很舒服不過出餐速度有些人手不足的問題
,3,neg,1 天前,"在eatable上訂了假日限定的牛排海鮮百匯,到現場卻回覆跟平台合作有誤要10人以上才能訂位？服務人員從頭到尾態度也非常差勁,一開始先懷疑是不是有訂位到後來直接搶走我手機看訂位網頁,塞張珍奶券與毫無誠意的道歉就想打發客人？是否該慶幸一開始沒有先刷卡付費？"
,4,3,1 天前,服務人員是很親切，但購買的三合一咖啡回家打開有數包受潮，有跟館方聯絡，結果FB人員告知會請相關人員聯絡，結果也沒下文...（有拍發票跟商品給館方）
,5,neg,4 天前,說是觀光工廠，比較像是餐廳，沒什麼介紹珍奶的內容而且地點偏僻，大老遠來一趟不太值得。還好附近也有宜蘭餅發明館跟蠟筆觀光工廠可順遊。
,6,neg,2 週前,珍珠奶茶館想說會比較特別，喝了一口就不想再喝了，過於甜，用燈泡包裝特色以外，口感實在不行。一樓的吃到飽的服務態度除了老闆娘好些，其他阿桑的服務態度實在是不行，明明空位很多，就算桌上堆滿碗盤也沒人收，要走了才會幫你收，說好收服務費的服務呢⋯難過，菜色一般般，來的這這天週日不能刷卡，要先結帳外加服務費，當觀光景點來採10分鐘就可以走了。
,7,3,1 週前,說真的，我不知道為何要開這家店，本身在台灣也沒店，裡面也沒什麼特別的內容，就放一些可有可無的介紹，賣賣貴貴的東西，最能看的大概是建築本身。大概90%的成本都壓在建築上了吧。
,8,3,1 個月前,"位於蘇澳交流道附近觀，停車方便，以珍珠為主題之觀光工廠，並有門市部選購商品，餐飲部份則分2區塊，有速食類如卦包做的套餐和自助式吃到飽的buffet, buffet又分為套餐及主餐加buffet ，價格不一樣需注意喔~這次選擇主餐加buffet，各點牛肉及豬排，整體而言，肉質口感略硬柴柴的，份量偏小，buffet食材種類不多，隨餐附上燈泡珍珠奶茶可無限續杯，喜愛的朋友可說是一種幸福，不喜歡甜甜的人則嘗鮮一下無彷，3樓則設有親子遊樂區，以球池為主搭配溜滑梯，滿200元消費可折抵1人入場1小時/以此類推，可稱讚的是服務員都很親切熱心，值得讚賞！b1也設有哺乳室讓父母及小孩子有地方更換，唯獨燈光較昏暗，可請服務人員幫忙開燈帶路。2樓則是以介紹珍珠為題的導覽樓層，並有DIY課程需先向1樓服務中心登記。整館心得認為餐飲食材需注意大眾口感做調整，並可多加生動活潑的課程來吸引大小孩，而2樓空氣較不流通需注意，其它部份以當地人來看，期望更好來吸引遊客促進經濟，也能讓在地人平日有優質地方玩樂，大家一起加油👍"
,9,pos,6 天前,還算滿好逛的地方，對裡面的小農鮮食餐廳印像很好，服務員都很客氣很有禮貌，消費200就可以帶小孩到3樓兒童遊戲區放電
,10,3,2 個月前,"奇麗灣位於台灣台北的後花園 - [宜蘭]，新城溪出海口，有著美麗峽灣、沙丘以及一望無際的海景以及多個濕地環繞。自然生態豐沛，多元水生植物、水鳥棲息之地、湧泉地帶、是處神秘優美綠色生態海峽灣，早期人稱它[奇力港]。漫步在海沙灘上，可遠望龜山島，背對九重山，賞鳥，看日出。大海的浪聲，彷彿聆聽大自然交響樂，是舒暢身心的好去處。 奇麗灣的使命除了推動生態及教育外，以在地多様豐沛自然生態環境、人文，並結合社區推動""綠活村""境界。利於推廣""美食在地國際化目標！ A.海洋、沙灘、生態 位於新城山海口，有片自然美麗的沙灘，自然生態豐沛、周邊多濕地、候鳥棲息種類眾多，並有自然湧泉，是個優美多元的綠色生態。 B.國際美食基地珍奶文化館 奇麗灣珍奶文化館本身就是區域環境的縮影，場館建築與周遭環境共生，是座森林裡的工廠。建築外觀猶如航向國際的旗艦，是在地國際化的綠色美食基地。 C.在地食材吃到飽 / 與好友分享 / 自己動手做 小農蔬食海鮮 嚴選在地小農種植的當令食材，友善的栽培過程，不使用有害的化學肥料與農藥，從農場直接到餐桌品嚐食物的自然原味。天天到漁港採買新鮮魚貨，伴以獨特的料理方式，完美呈現海的鮮味。 分享禮坊 好東西與好朋友分享！逛逛分享禮坊，在舒適環境中享受美好時光，多種禮品與特色伴手禮，有各類咖啡、茶與花茶、各式飲品、休閒食品、飲食文創商品等，任君挑選。 學學美食 訂做專屬自己獨一無二的珍珠奶茶！喝得安心、學得開心，樂在其中，就來體驗有趣的珍奶DIY。多樣化的體驗課程，探索不同的飲食世界，享受美食的好味道，就來自己動手做。 D.多樣活動場地提供 選擇最佳環境舉辦活動，場地租借有西式場地/庭院式場地/景觀式場地/挑高大型休閒會議/景觀露地場地。"
