_id,sid_comment,star,time,comment
,1,pos,3 天前,伴手禮很不錯喔，導覽解說也很詳細吻仔魚跟櫻花蝦都很好吃
,2,pos,2 週前,溪和觀光工廠，從進門的招待大哥到裡面員工各個好熱忱超熱情，一一介紹工廠歷史，招待試吃吻仔魚、櫻花蝦、小卷，一一介紹新鮮漁獲來源與製作，邀試吃再試吃，推薦很棒的觀光工廠
,3,pos,2 個月前,看到網路評論高好奇前來參觀不得不說這裡員工很棒雖然只有我跟家人2個人去但還是很親切招呼導覽方向有像回到親戚家的感覺不會讓散客感到陌生雖然廠區不大但試吃的也很願意分享上二樓展區一個弟弟超古意一看到我們就過來很認真講解與分享漁業資源就像小朋友去學校後回家分享學校的事小姐也很熱心介紹產品但不會讓你有壓力下樓時疑似員工休息時間到但看到我們還是很熱情招呼歡迎再來很棒
,4,neg,1 個月前,非常差的購物經驗＂貴司＂本身未註記產生的問題必需由消費者自己承擔非常差
,5,pos,2 週前,宜蘭漁獲的知名作業中心，歡迎來買魚貨！
,6,pos,3 個月前,"第一次造訪,提供多種海鮮即食及販賣冷凍漁產,大方給試吃,服務解說人员,親切熱情,会在造訪."
,7,pos,2 個月前,服務人員很親切，試吃很大方，東西很新鮮，還會想再去的好地方！
,8,pos,3 個月前,老闆和員工很熱情，有多樣產品試吃口味不錯，如果可即食產品在多樣一點，老闆和客戶都會更開心，需在當地在住一晚，所以無法購買，期待下次再訪會有不一樣，謝謝招待
,9,pos,2 個月前,第一次碰到觀光工廠服務人員這麼親切熱烈.感覺非常的好很值得推薦
,10,pos,3 個月前,每個人員非常親切，介紹產品也很仔細，對小孩也很好，真的是每個人都很親切，魚貨也很新鮮好吃，我們回來購買好幾次了。
,11,pos,3 個月前,不大，但服務人員都很親切、熱情，又不會強推產品，感覺舒服唷。小朋友也喜歡。
,12,pos,4 個月前,地方不大，但工作人員服務親切，東西都不錯吃，很新鮮很好吃，堅果櫻花蝦超好吃，還可以買現撈的海魚
,13,pos,4 個月前,魚貨處理的很好，買回家簡單料理加熱後就能吃，新鮮又美味，但價格還是有貴那麼一些些
,14,pos,2 週前,產品新鮮美味，服務人員親切熱情。
,15,pos,5 個月前,服務親切，解說詳細，免費試吃，不會緊迫釘人一直推銷，新鮮好吃(可惜還要遊玩四天，所以沒購買，無法冰存)
,16,pos,3 個月前,服務人員超用心對待來訪的遊客.解說也用心.產品新鮮價格合理..
,17,pos,5 個月前,小小不大，大約一個小時內打發人員非常的親切，有禮貌，廁所，環境都很乾淨，感覺很不錯
,18,pos,4 個月前,吻仔魚，美小卷和櫻花蝦都超棒，是小朋友的最愛
,19,neg,4 個月前,如果要買魚貨的可以去看看但價錢跟外面一樣整體來說  普普
,20,pos,3 週前,旅遊最終站，東西好好買🤣🤣🤣
,21,pos,7 個月前,漁產鮮美，現場沒什麼魚腥味，我們家到宜蘭基本上都會去這裡買些東西帶走；聽說2020年過年後會再新增展館跟電梯讓行動不便者也能參觀，值得期待！
,22,pos,6 個月前,好吃的干貝醬及醬油每年都會去個幾次補貨期待後續新增的展場面貌
,23,pos,9 個月前,經 營溪和冷凍水產食品有限公司的簡氏家族原本居住在宜蘭的龜山島上，以捕魚為生，後因生活不方便遷居宜蘭頭城，民國45年現任總經理簡大新的祖父在彭佳嶼海 域發生船難，祖母與當時念初一13歲的父親簡溪焰在海邊搭建起簡陋的魚寮，進行簡單的水產品加工，維持一家子生計。也因為產品品質很好，逐漸建立口碑與行 銷通路，甚至外銷到日本。民國86年，正式成立了溪和冷凍水產食品公司，並邁向現代化經營。民國96年因業務擴展，第三代簡大新遷廠至利澤工業區現址，除了設立新廠房，也增購了更多現代化處理設備，並通過HACCP認證，在公司業務穩定發展後，97年更在宜蘭縣政府工策會輔導下轉型為觀光工廠。
,24,pos,7 個月前,帶小朋友來體驗做飯糰，裡面的接待人員都非常親切，對小朋友很好，試吃給的很大方，海鮮也非常好吃，很期待新館落成，值得推薦！！
,25,pos,1 週前,小歸小 誠意十足 東西還不錯
,26,pos,7 個月前,服務人員親切，具專業知識，提供符合我需求的海鮮冷凍商品，很不錯的購物及參觀體驗。
,27,pos,7 個月前,一進館熱情解說員（少人數一樣熱情解說）全館工作人員很熱情，試吃不小氣。不會強迫推銷。有小食區 推薦。
,28,3,7 個月前,沒有要買海鮮的話，就沒必要到這裡了。過年後新展館看會不會比較有教育意義。
,29,pos,5 個月前,親子友善 態度親切每次必買小卷 適合年節送禮
,30,pos,8 個月前,免門票，解說員說明清楚也十分親和，總算搞清楚吻仔魚是什麼，怎麼捕的。
,31,pos,4 個月前,接待人員很和氣， 要賣東西也超好吃的
,32,3,7 個月前,漁貨美味，試吃大方，廠房略顯老舊，待新展場完成，可給顧客不同的感受。
,33,pos,7 個月前,各魚貨給試吃後如購買量大可宅配熟食魚貨可即時享用生魚貨已處理乾淨隨時下鍋就好！
,34,pos,6 個月前,服務好，試吃大方，有導覽和DIY活動(要預約)
,35,pos,8 個月前,魩仔魚羹便宜、好吃！魚貨新鮮、服務人員親切，試吃也很大方，有炒丁香魚、鯖魚、拌飯及櫻花蝦杏仁等等，現場價格還有折扣！推薦經過的人千萬別錯過呦！
,36,3,7 個月前,擴廠中期待新的展場，魚產品適合現代生活料理方式，簡單新鮮好吃。
,37,pos,4 個月前,服務態度親切、環境衛生舒適，感覺很棒！
,38,pos,6 個月前,服務人員都很親切 試吃的東西很大方食材很新鮮
,39,pos,5 個月前,介紹人員 賣場員工服務親切 食材試吃新鮮超好吃
,40,pos,9 個月前,"免費導覽，介紹早年宜蘭當地的捕魚文化免費試吃，櫻花蝦,小捲等我們買了一公斤的無卵小卷600元(印象中?)當下雖覺稍貴，但回家拆開發現所有的小卷都是有卵的，賺到😁。"
,41,pos,9 個月前,運氣好聽到解說得知漁船補撈魚的細節與分類很棒的體驗試吃有誠意，但畢竟是魚鮮，要有魚腥的心理準備可以現金支持的點
,42,pos,7 個月前,参觀路線，可再改進整體規劃不錯，各式產品新鮮。
,43,pos,8 個月前,有鮮凍的刎仔魚跟櫻花蝦，刎仔魚跟小卷XO醬很下飯。
,44,pos,6 個月前,解釋服務親切，產品多樣，增加漁業知識。
,45,pos,9 個月前,海鮮食品好吃便宜，忍不住買了不少。導覽解說新鮮有趣，但內容較少，能再增加一些比較好。
,46,pos,8 個月前,2019-10-場地雖然小，但員工友善親切，試吃大方，停車方便，海鮮產品好吃
,47,neg,9 個月前,"不是很喜歡這裡的觀光購物工廠..態度都不是那麼好、硬是要推銷產品，令人感覺到不厭…下次不會再去回復商家其實我們幾乎都是每一年才會去一次宜蘭、貴商家我們也是一年才會去一次，但每每都是一樣的推銷產品、貴公司的人員詳細解說以及介紹我們非常的感激、但行銷策略的部分似乎觀感並不是那麼的好..再者我們並不清楚貴公司與遊覽車司機是否有內定協議、我們已經到了很多次,其實會購物就是會購物不會購物就是不會購物，但讓我們的感覺是...好像沒有購物是走不出貴公司的感覺、我們並非大陸團也並非(購物團)所以還懇請貴 公司對於行銷策略要有所改變、若不想改變那麼我也不會變更我的評論，僅此。"
,48,pos,1 週前,好鮮好吃的海鮮！
,49,pos,9 個月前,海鮮食品處理程序透明化及清潔度提升，購買時有保障不會有觀光漁市場的品質疑慮。
,50,pos,8 個月前,雖然價格較高，但品質非常好，超好吃，還可長知識~
,51,3,8 個月前,還在發展中，愛吃海鮮的人可以去看看，其他就……………
,52,pos,11 個月前,"經營溪和冷凍水產食品有限公司的簡先生親自以閩南語親切解說產品的堅持、家族故事、海鮮們的故事，雖然沒有直接經營漁船生意，但可能因為已經建立口碑、行銷通路，甚至外銷到日本，所以大部分的產品價位都比較不親民。但是老闆對於光觀工廠所有細節講究，例如: 剛進大門的地上的小小水裡動物，魚、小卷等等，其實挺可愛的。it's a frozen seafood factory. Most of products are a bit costly, but the qualities are good. All the staff are pretty nice and friendly."
,53,pos,4 個月前,乾淨又超級親切，很小朋友玩的很開心
,54,pos,8 個月前,吻仔魚非常新鮮軟嫩好吃，跟外面的不一樣
,55,pos,10 個月前,很大方試吃的觀光工廠，販賣部有現煮的粅仔魚羹湯，不錯吃也有生煎干貝，很鮮甜
,56,pos,10 個月前,非常讚~夫妻倆一遊服務員熱情招待＆解說~值得一遊聽說年底展區擴大完工有機會會在蒞臨~
