_id,sid_comment,star,time,comment
,1,pos,2 週前,若是你喜歡畫、懂一點點畫，來這不會讓你失望，雖然是小品收藏，仔細觀察會發現館長很用心。小小孩可能只能走馬看花，建議小學以上到訪較佳！
,2,pos,1 週前,展場不大，但認真說，在那可以輕易的耗個一小時左右服務人員親切的解說不死板，互動性良好
,3,neg,2 週前,並沒有想像中的有趣，解說員只有大略解說不到5分鐘，就讓我們自由參觀，不到半小時就可以逛完全部了（1-3樓）無電梯，不適合帶小baby使用推車的家庭，參觀結束的時間不過15：30就鼓勵我們把DIY課程帶回家自己製做，失去了全家一起玩樂的意義。
,4,pos,2 週前,宜蘭旅遊必去的景點之一『美拍玩很大OMG畫框博物館』透過電視綜藝節目 綜藝玩很大主持人*吳宗憲* 的介紹及遊玩，讓我得知這個美拍照的好地方，在這個 畫框博物館 有許多日常生活中 看不到的 畫及畫框 還有美拍玩很大OMG畫框博物館裡面的專業人員（是美女）專業導覽，說明了 畫框材質 製作及凹凹凸凸的油畫*美拍玩很大OMG畫框博物館*裡面有 許許多多的世界各國名畫 ，還有很多不一樣的畫框框架 可美拍 美攝，有畫框的框架牆面可專業拍攝獨一無二的 搞笑自拍 誇張臉部表情的3D照片自拍 無理頭又白爛的拍照的好地方我個人推薦及大推宜蘭必去的拍照景點 網美必來好點 好看 有趣 搞笑 專業 美拍（畫框博物館）
,5,pos,1 個月前,我還沒進來之前，覺得就是陪其他人來玩，進來之後，才發現很好玩，導覽員很專業 我發現 他們走到二樓之後會導覽畫作 導覽都非常的專業不是背稿子的那種 然後如果 有時間一定要進去那個小房間，裡面有幾張畫都是小朋友的 他是非常非常有趣的一個小房間喔 當導覽員介紹完所有的畫之後，所有人都覺得收穫非常多 因為在這裡聽到了很多鬼故事，這實在是太有趣了 ，然後到了三樓之後 在那些框前面拍照片，雖然覺得我個人智商有下降 但是覺得真的不愧是美拍的勝地，很好拍，所以非常建議大家 如果有時間到這裡來至少給自己留兩個小時的時間， 導覽員都很親切不管選哪一個都很好喔 唯一的缺點就是沒有水，可以喝記得先把水喝飽再進來
,6,pos,3 週前,雖然有收門票但是很值得喔！一點都不無聊！很好拍～又有ＤＩＹ可以體驗～闖關還有禮物拿～也有免費停車場～算是宜蘭一個不錯的室內景點喔！
,7,pos,1 個月前,不無聊，很有趣的景點，展品雖然不是太多，但服務人員的解析跟導覽成就了旅程的開心度跟幸福感，因為導覽員的熱心簡介讓很多枯燥的美術史變的活潑，照片的故事也講述的很精彩，在輔導區部分，照片故事的講述更讓人起雞皮疙瘩，非常有意思。從木框到畫再到diy都充滿了互動感，親切又輕鬆，算是一次滿分的旅行。推薦給情侶或有孩子的家庭。
,8,pos,1 個月前,活動很有趣：1樓：畫框的介紹，以及DIY小勞作。2樓：畫風的演進，畫作的介紹。（其中有一區是靈異畫的故事講述），另有一紫外線光作畫遊戲區。3樓：畫框的展示，以及立體拍照。4樓：自畫創意小黃貼，可貼於館內留念。導覽解說用心：館內工作人員的態度親切和善，在解說時也很仔細且認真，在館內參觀可以很自在，沒有壓力。
,9,pos,1 個月前,這次來這邊其實是一個很偶然的機會 ， 原本沒有預計要安排這個行程， 但是這個1小時過後，覺得來這邊很不錯，體驗很多，收穫很多，跟朋友去很好玩。來這邊感覺可以增加美術的天份， 對於美術的不同派別有了更深的認知 與了解，然後還可以聽很多故事，工作人員都很友善，導覽很專業， 最後的手作活動其實蠻有趣的，感謝感謝！下次來宜蘭一定要多來這邊幾次~
,10,pos,6 天前,太棒的博物館，收藏家很用心，畫作簡介導覽清楚，很推薦喔！喜歡~
,11,pos,1 個月前,朋友推薦的景點，本來抱持著姑且一試的心情買門票進來的，但是一進來之後，發現CP值超高的！只收門票180元，有四個DIY，帶小朋友的家長超適合的啊！然後，導覽人員超級用心，對於每個畫作風格及背景介紹都相當清楚，本來我對於畫作並沒有太多的了解，不過經過導覽人員的解說之後，我對於畫作有了基本的介紹！還有啊，這裡超好拍照的！網美必訪景點！總共有三層樓，每一層都有每一層的特色，這裡雖然不大，但是每一個空間都有非常值得探訪深究之處～很推薦喔！
,12,pos,1 個月前,強力推薦！門票$180，包含了四項DIY、館外還可以免費停車🅿️，還可以折抵館內消費$100導覽員很親切解說的很詳細也很可愛，很包容很吵的我們，除了一樓有導覽之外二樓也有導覽，館內收集很豐富逛起來不無趣，總而言之是蠻好玩也滿有知識教育的地方，來宜蘭的話，CP值超高，真的是超級划算！
,13,3,1 個月前,佔地很小，一下子就能逛完，館內收集的畫作有考量到創作的豐富性讓一般遊客逛起來盡量不無趣，不過關於畫框的介紹好像就顯得可有可無，整體逛完也只知道框有分木框和塑膠框，很可惜贈送的DIY比較適合小朋友玩，如果用來收藏顯得精緻度不夠
,14,pos,1 個月前,還不錯的地方，也是下雨找不到地方去才找到這裡的，服務人員介紹的很仔細，可惜地方不夠大，沒辦法逛很久，但有一些DIY的小東西可以做，對畫有興趣的可以來看看
,15,3,1 個月前,入場券特價180元可以抵消費100元買手禮，比較適合有帶10歲以下兒童畫不多，但是很仔細解說畫框反而沒什麼
,16,pos,2 週前,服務人員很用心解說，每樣東西都很新奇有趣，值得大家去參觀，學習藝術知識😊
,17,pos,3 個月前,推薦給喜歡藝術作品的人。如果剛好下雨天，這裡真的蠻適合來的，二樓展區會大致導覽不同時期的畫作風格（複習一下美術課xD) ，這邊畫作都是真跡或是複刻，不用花很貴的門票，就可以看到厲害的作品，導覽女孩也會不時在旁邊解惑~~不會只是光看畫不懂箇中道理👍👍👍在帷幕後面，有一區神奇的鬼故事畫作，（12以下禁止進入👻👾xD ）純真的畫搭上敘述的故事情節，讓人不禁覺得玄奇#噢~三樓有錯位視覺的3D立體畫作可以一起融入拍照 🎆還有各種的蒙娜利莎（阿凡達款、不屑款xD) 拍照真的很有笑果有機會還是會來呦！^o^
,18,pos,2 個月前,"之前經過很多次,趁休息的時候跟家人一起來體驗畫框博物館,超適合全家大小一起來遊玩,本身裡面很多地方都很適合拍照,網美也很適合😂,解說服務員也超熱心,貼心,很細心跟你介紹所有的畫像,讓你更了解每個世紀不同風格,不只可以在裡面拍照,玩樂,也可以學到很多知識,還蠻豐富的,還有許多相框是可以讓你拿來體驗融入畫中,讓你可以更在其中,喜歡的人可以來這裡體驗,不只可以欣賞畫,一樓還有diy的部分😎😎,可愛以全部逛完後,如果時間還有足夠的,可以體驗他的diy部分,很多東西可以選,還蠻值得大家一起來玩～～由於對於畫做有興趣的朋友,也可以來這裡體驗看看喔,好玩有趣,😍"
,19,pos,2 個月前,這裡真的超好拍❤❤不小心就從開館待到中午❤❤平日來不會擁塞❤❤放假的好去處❤❤而且冷氣超強的啊😂太陽日的好去處😂這裡有很多畫作可以欣賞❤❤畫作超多類型❤❤從童趣的到寫實美麗的都要❤❤還有很多有趣的互動畫作超有趣❤❤導覽人員超細心也講解的非常清楚❤❤這裡可以完全媲美小型美術館❤❤不單單只是有畫框牆可以拍照哦❤❤動線也很好❤❤不會是只有小孩可以玩的博物館❤❤大人也可以玩的很開心❤❤❤
,20,pos,2 週前,去邱比準買套票比較划算...進來吹冷氣 工作人員親切
,21,3,3 個月前,導覽員解說很詳細很可愛很清楚很明白很可愛很有趣很喜歡小朋友，從寫實派到印象派到後印象派到三星蔥派到竹科電子新貴派到抽象派都講解的很清楚很生動有趣；噢還有拾穗不是十歲，雖然十歲也是可以拾穗，但拾穗這幅畫已經經歷了幾十個十歲了。還有自己蓋章設計畫框配對的部分也很有趣，我的名作「被亞當指責」就免費貼在這給大家看了；沒錯，就是羅浮宮和羅福助宮搶著要的那幅。還有我跳很高被稱讚得像是被藝術耽誤的被肺炎耽誤的奧運國手或者被肺炎耽誤的奧運國手耽誤的藝術家。總而言之是蠻好玩也滿有知識教育的地方，推推思密達
,22,pos,1 個月前,人員很詳盡解說，能增長知識，門票可抵用並且贈送DIY相當實惠。
,23,pos,3 個月前,第一次來到這裡，從入館開始，就會有解說員親切的為你一一了解，從畫框的分辨、材質...等等到作畫技巧的知識，各種畫風的介紹，如：大眾皆知的寫實派、抽象派、印象派等等~另外也有所謂詭畫，盯著看真的會有種彷彿被吸進去的感覺；在關館中有他們的導覽，讓我更了解畫作的由來和製作方式，除此之外又有很多的DIY體驗可以玩，例如用簡單的圓形貼紙，畫出獨一無二的畫作貼在兩旁的樓梯間；或是用積木，拼出屬於自己的相框，還有豐富的紀念品可以拿，來到這裡真的收益良多。這樣子有玩又有拿的地方不來嗎？
,24,pos,4 個月前,強力推薦，喜愛拍照的我們簡直玩瘋了！導覽人員很親切，有特別請他們導覽二樓，另外還有鬼畫區，每個故事都很精彩！三樓是拍照區，雖然空間不大，但是憑藉著文青的本能與創意，是非常容易發揮的，只能說拍照拍到欲罷不能。平時在台北市看展，票價最少都要280以上；在這裡只要180元，停車方便又不用錢，還有小禮物能兌換(一包積木相框或紙相框二選一)，另外還有明信片等文青小物能拿(要闖關完，題目不難)，門票最後還能再折100元(因為油畫都不便宜，所以沒用到)，真的是超級划算！建議可以再賣咖啡或飲料，除了因為大家玩的很累會口渴，還有就是氣氛舒服悠閒。特別值得一提的地方是，這裡從牆上壁紙的畫，地上的畫，可以拿起來拍照的畫，竟然通通都是油畫，不是印刷輸出的(一般展覽都是印刷品貼一貼)，覺得蠻猛的，用心都在細節裡，了解藝術或喜愛拍照的可以來走走，蠻有趣的宜蘭景點。
,25,pos,3 個月前,解說員很細心介紹，了解名畫及畫框製作材質很不錯的室內景點，非常適合下雨天的備案👍🏻室內也很好拍照，還有塗鴉貼紙跟抽獎活動結束後還可以到一樓DIY手工製作小禮物紀念品離交流道很近！附近有提供停車場、洗手間非常的方便〰〰〰停留時間，預計一小時半至兩小時左右！
,26,pos,3 個月前,第一次來到這裡，非常的有趣，服務非常的好👍到處都非常的好拍，想怎麼拍就怎麼拍，適合喜歡拍照的朋友來！闖關活動也十分有趣，很適合親子出遊的好景點！也能增加對藝術更多的知識，對藝術感興趣的朋友可以來這！這裡也能夠帶寵物（要自備推車，不落地）！Diy活動時解說員也會細心親切的解說～👍從停車塲開始就有非常多的畫作可供拍照，來到這裡還能了解各種派系的畫風！果然不虛此行，環境也非常乾淨！是宜蘭雨天備案的好景點之一。
,27,pos,3 個月前,價格有點高，票卷沒用完扣抵的金額無法全部使用有點可惜，不過解說員解釋畫框及說明完整，Diy以後可以更多元豐富一點比較好
,28,pos,3 個月前,是個很適合雨天來的地方，一進來有幫我們消毒手，隨後解說人員就為我們解說。對於一般沒有深入了解畫作的人也可以簡單的聽懂他們的介紹，淺顯易懂，用小朋友喜歡的道具來介紹。這裡是一個很安靜很有文藝氣息的地方，畫框在建築滿佈四處，二樓是各式各樣畫風的作品，還有互動遊戲！！！還有一個神秘的布簾，布簾裡面值得了解～三樓的採光超級好！好多名畫，超級好拍，解說人員還會很熱心的幫你拍照留念！最後還可以畫屬於自己的小貼紙，拿著相框和一同來往的人一起合照ㄛ
,29,pos,3 個月前,適合親子同樂 ，親切的小畫家會帶妳認識到藝術的領域。油畫的世界 很奇妙、可以保存到百年的時間、當然懂的保存的方法很重要。藝術家的創作，往往不是一般人能想像的，呈現出來的畫作有立體感、有抽象、有各種不同的畫風、包含眼神的傳神度是讓人最驚艷的，在這裡可以花上一天的時間，認真聽親切的講解、努力拍美美照 各個角落有不同的驚喜，加上有DIY積木相框、可以讓你帶回家作紀念。再這裡妳可以忘記都市塵囂喧鬧的人群、很值得來畫框博物館，來和親切的小畫家互動一下吧！
,30,pos,3 個月前,第一次來到這裡，外面看起來不大間，裡面卻非常豐富，隨時有讓人驚喜的圖片，接待人員非常親切，隨時幫我們講解每幅畫作的特別之處，讓我們認識更多的畫作，可以從參觀中學習到更多的藝術，還有很多拍照的點跟diy，小積木的diy超可愛的，是一個非常適合全家大小的景點，雖然要門票，但是非常值得，環境也很乾淨，有機會的話，下次一定會再帶家人來的
,31,pos,3 個月前,來到這裡陶冶人文氣質，可以沉浸到從十六世紀的文藝復興一直到了十九世紀的藝術氛圍，體驗各印象派畫風的轉變與同中求異的美。 外表清秀、口條有理的服務人員小姐們非常精闢與細心的解說，讓眾人與我皆深深受到藝術的薰陶。 樓層以及週遭的環境也十分乾淨與明亮，完美兩個字也不足以形容這裡的美。 推薦各位來這邊享受人生的時光畫廊。
,32,neg,4 個月前,不是很推薦，首先館內其實不大，所謂的導覽只有在入門前講一下下，上二樓之後就是自己逛，逛完後下來要做DIY時，因為人很多，小姐的態度沒有很好，也沒說明清楚，領完料材，就被晾在一旁，只能自己想辦法找座位，自己摸索，叫你把步驟拍起來回去自己做...。而且後來才發現，畫框樂高是沒有出售的，紙做框有販售，結果最後要折抵商品時，每件都只能折一百，所有商品都定價超過一百，等於還要再另外掏錢，唯一不加錢可以換的就是紙做框，那一開始DIY就應該做樂高，然後用折抵換紙做框，不就兩樣才都能玩到?  整體感覺CP值有點不符所花的門票....
,33,pos,3 個月前,服務好，工作人員細心、耐心、親切介紹關於畫、框等知識，讓我們一行14人感到賓至如歸，滿滿的美感知性之旅。門票$180，可享受四項DIY活動，另有$100商品折抵，可以慢慢玩1.5～2小時，停車方便。我喜歡的名畫：吶喊、向日葵、拾穗、夢、蒙娜麗莎的微笑、永恆的記憶、創造亞當、戴珍珠耳環的少女和梵谷等名畫，這邊都有印章可以蓋！推薦大家來一趟美感的知性之旅吧！
,34,pos,3 個月前,第一次來到這兒，從入館開始，有解說員親切的帶領你一一了解從畫框到作畫技巧的知識，有他們的說明，對於教的東西都還給美術老師的我來說，真的能夠深刻的了解到許多有對於畫作的歷史文化以及相關的學問，因為能夠實際的看到畫作，而不是課本上密密麻麻的字，實際體驗真的可以學習到很多！除此之外又有很多的DIY體驗可以玩，還有豐富的紀念品可以拿，來到這裡真的收益良多。這樣子有玩又有拿的地方不來嗎？PS.解說姐姐很漂亮~
,35,pos,3 個月前,博物館的解說員 每一位都相當禮貌且親合對每一位顧客都不遺漏的詳細解說即使展示空間不大 也無法容納那麼多的畫但仍舊保有很大的趣味性和互動性是值得一去的好地方
,36,pos,3 個月前,很棒的地方❤️適合全家大小大小參觀 也很適合拍照留念解說員也很貼心的細心解說（漂亮小姊姊❤️）很多畫我們可能只是看完就結束但有解說員說或讓你更有興趣的去了解每幅畫的意義跟畫法結束還有DIY 體驗闖關小禮物🎁
,37,pos,2 天前,小而美的地方~美麗的畫框框住很多美麗有趣的畫作
,38,pos,3 個月前,介紹人員很有耐心的介紹每張畫真的很厲害地方雖然不大但卻都很好拍門票180折抵消費100還贈送迷你積木相框👍
,39,pos,3 個月前,雖然從外面看進去不是很起眼，但是裡面很漂亮，各式各樣的畫，框，有詳細的導覽和美麗的導覽員，可以拍照可以學習，還有小遊戲和DIY，適合大小朋友一同前往
,40,pos,4 個月前,在這裡有很多出乎我想像的地方ㄟ⋯⋯本以為博物館是嚴肅  枯躁乏味的  參觀之後才發現  藝術  畫家與畫  離我很近，館長們的細膩心思  用心❤️  讓我們更親近了解  古往今來的畫家們  因著時代背景的改變  時空的潮流變遷  科技技術進步等等  大大小小的事情  物換星移  世代交替的轉換  有了異想天開  天花亂墜的思維與創意畫風  值得後人學習看齊的指標  這是一個優質的行程安排
,41,pos,3 個月前,有導覽員講解！很細心的一步一步帶領講解館內有好幾個DIY的關卡，很有趣！也能學到美術的基礎知識👍🏽
