_id,sid_comment,star,time,comment
,1,pos,5 天前,cp值超高，門票可抵消費及換體驗（或贈品），米粉免費吃到飽，湯另計。現場多為拍照點，人多時會感覺場地擁擠，現場有發現已在建2館。
,2,neg,1 週前,售票亭林*如態度很差，參加飯店4人房專案含門票其中一張飯店疏忽未蓋到飯店章說不能使用還要我們自行跟飯店確認，飯店與貴司承辦確認可以讓我們先換票，但售票亭林*如還不讓我們換還要等她確認，大熱天讓我們一直等真的有點受不了；個人覺得這種疏忽應該由售票員自己去跟飯店確認，並不是由客人去確認完還要等您們再確認。
,3,3,2 天前,品牌確實是鐵的保障，食品是良心事業結合時代的演變，世代交替與時俱進。（讚啦）
,4,pos,1 天前,很超值的一個觀光，有桃園市民卡門票可以再打9折哦
,5,pos,1 週前,"門票200,不過有超過200的產品可以拿，還有免費的米粉可以吃，缺點地方太小，看看二館完工會不會更好"
,6,pos,1 週前,完全復刻台灣早期社會的場景，適合帶老人家去走一趟旅程，也可以帶小朋友一起了解早期社會的生活環境
,7,pos,3 天前,讚👍～帶diy米粉的小姊姊人超好的這裡很適合夏天來，因為很涼😂很復古
,8,pos,6 天前,工廠佈置得很復古，動線簡單明瞭，裝置也很有趣，門票可以抵消費也非常親民！
,9,pos,2 天前,不錯的地方可以走走，炒米粉吃到飽，門票抵用卷送的大方！
,10,pos,2 週前,這間是我旅居在宜蘭最常帶孩子去的觀光工廠之一，整體設計規劃看似簡單，卻深植人心，尤其是diy米粉泡麵，孩子可以自己畫自己包裝，去幾次都好玩，門票還能換米粉回家吃，裡面也有吃到飽米粉，這工廠老闆非常大方，去宜蘭必來。
,11,pos,2 週前,有免費米粉可以吃古早味擺飾會讓很多人喜歡拍照場地其實沒有很大贈品也很大方只是今天人太多了！Diy也需要 付了門票，另外再付費
,12,pos,2 週前,參觀60年代商店街場景 試吃虎牌米粉 停車方便  建議購物區可以大一點 排隊是結帳人擠在一起無法好好選購 人太多太擠隨便拿幾項就出來
,13,pos,4 週前,懷舊的旅遊點，服務人員很親切客氣。免費的炒米粉讓你吃到爽，用票券換碗大魚丸湯，兩粒結實的大魚丸會讓你吃飽喝足😋然後再憑票卷換2包虎牌米粉，值回票價的旅遊點👍
,14,pos,3 週前,門票一人200，可抵100元的消費跟換DIY或2包米粉。整個觀光工廠設計的很用心，不只米粉吃到飽。搭配紅蔥魷魚醬也好好吃。
,15,pos,1 個月前,雖然非宜蘭市民門票要200元，但能抵消費還有米粉吃到飽。更有很多很好拍的古早場景，非常適合全家大小一起來走走逛逛
,16,3,2 週前,裡面復古，空間不大，售票員比較無表情。適合拍照；免費吃米粉；兌換DIY。如果不拍照基本上就還好。
