_id,sid_comment,star,time,comment
,1,3,,第1篇評論找不到，得用RAWDATA回溯
,2,5,,第2篇評論找不到，得用RAWDATA回溯
,3,5,,第3篇評論找不到，得用RAWDATA回溯
,4,5,,第4篇評論找不到，得用RAWDATA回溯
,5,5,,第5篇評論找不到，得用RAWDATA回溯
,6,5,,第6篇評論找不到，得用RAWDATA回溯
,7,5,,蜂巢好好吃～來這邊的話ㄧ定要來點這個「蜂巢霜淇淋」😊😊😊ㄧ口氣吃到蜂蜜+蜂巢+霜淇淋三重風味ㄧ次滿足👍還有一位漂亮的姐姐介紹蜂蜜😊專業又親切笑容又很甜～在她的說明之下我才終於知道原來龍眼蜂蜜跟荔枝蜂蜜不是裡面加了龍眼或荔枝，而是要跟著季節帶著蜜蜂分別在不同的時間點去到龍眼樹荔枝樹採集花蜜～光想像畫面就覺得好辛苦、好認真、好努力試喝一小口都能感受到這份熱血、熱情跟活力後來買了荔枝蜂蜜回家～照著這位親切漂亮笑容甜美的小姐姐教學的方式調配冰塊跟水的比例還有攪拌方式 — 天天喝蜂蜜～😊😊😊果然不只好喝！！！喝了整天都充滿好心情❤️❤️❤️
,8,5,,我是因為有小火車才帶孩子去看看的😅服務人員還可以至少不會強迫推銷甜點好吃但多少還是有點膩環境乾淨舒服外頭的小花園好美還有小朋友可以玩的溜滑梯
,9,5,,第9篇評論找不到，得用RAWDATA回溯
,10,4,,第10篇評論找不到，得用RAWDATA回溯
,11,5,,第11篇評論找不到，得用RAWDATA回溯
,12,4,,第12篇評論找不到，得用RAWDATA回溯
,13,4,,第13篇評論找不到，得用RAWDATA回溯
,14,5,,第14篇評論找不到，得用RAWDATA回溯
,15,4,,第15篇評論找不到，得用RAWDATA回溯
,16,2,,第16篇評論找不到，得用RAWDATA回溯
,17,5,,第17篇評論找不到，得用RAWDATA回溯
,18,4,,第18篇評論找不到，得用RAWDATA回溯
,19,4,,第19篇評論找不到，得用RAWDATA回溯
,20,4,,第20篇評論找不到，得用RAWDATA回溯
,21,4,,(由 Google 提供翻譯) 一個帶家人和朋友的好地方。孩子們特別喜歡在這裡。但是，這也非常商業化，因為他們有一個櫃檯，推銷員試圖讓您購買產品。(原始評論)A nice place to take family and friends. Kids especially enjoy it here. However it's also very commercial as they have a counter where the salespeople tried to let you buy the products.
,22,5,,第22篇評論找不到，得用RAWDATA回溯
,23,5,,第23篇評論找不到，得用RAWDATA回溯
,24,5,,第24篇評論找不到，得用RAWDATA回溯
,25,4,,第25篇評論找不到，得用RAWDATA回溯
,26,4,,第26篇評論找不到，得用RAWDATA回溯
,27,4,,第27篇評論找不到，得用RAWDATA回溯
,28,4,,第28篇評論找不到，得用RAWDATA回溯
,29,5,,1。博物館不大，大約15分鐘可逛完一圈，帶小朋友去玩，小朋友玩的很開心。2。銷售人員不會強迫推銷，服務態度非常好。3。蜂蜜很好喝可搭配附近的 可達休閒羊場一起一遊
,30,5,,第30篇評論找不到，得用RAWDATA回溯
,31,4,,第31篇評論找不到，得用RAWDATA回溯
,32,5,,第32篇評論找不到，得用RAWDATA回溯
,33,4,,第33篇評論找不到，得用RAWDATA回溯
,34,3,,第34篇評論找不到，得用RAWDATA回溯
,35,5,,(由 Google 提供翻譯) 很好，我喜歡冰淇淋蜂巢！(原始評論)Very nice and I like the Ice cream bee nest!
,36,1,,第36篇評論找不到，得用RAWDATA回溯
,37,2,,第37篇評論找不到，得用RAWDATA回溯
,38,5,,第38篇評論找不到，得用RAWDATA回溯
,39,5,,第39篇評論找不到，得用RAWDATA回溯
,40,5,,第40篇評論找不到，得用RAWDATA回溯
,41,4,,第41篇評論找不到，得用RAWDATA回溯
