_id,sid_comment,star,time,comment
,1,4,,第1篇評論找不到，得用RAWDATA回溯
,2,4,,第2篇評論找不到，得用RAWDATA回溯
,3,4,,宜蘭知名的酒廠，去的時候剛好是最後做酒精的時候了去完沒多久就看到新聞說不做了，有專門給停車的地方但標示沒有很明白勉勉強強，第一次去繞了快要一圈才知道怎麼進去，不過是免費停車的地方就不跟他計較一進去右後方有很大的台灣啤酒🍻就是鋁罐那種的放大版大概有兩三層樓高吧，拍照📷指標 妹子網美景點身為男士們就要知道自己的任務是什麼再來拍完之後跟著走進去可以看到很多制酒的工廠雖然是假日去沒在幹嘛反正也不是很重要，經過幾間的工廠之後會看到遠方有很多黃色的籃子  不要懷疑 這些酒籃子就是 拍照📷指標身為男士們 馬上要貼心的問女伴們需要幫妳們拍照嗎📷 就可以看到很多的 女生女性 婆婆媽媽 等等在這些黃色的籃子面前擺出各種不同類型風格口味的照片身為專業的攝影師 不要懷疑 按下連拍就對了多拍幾張最後讓她們自己去選擇否則下場不堪想像啊⋯⋯拍照之後又去看了一下有兩個賣場的樣子一個看了完全不餓想進去喔留一個是有賣泡麵的地方勉強可以逛一下重點就是拍照 📷 拍完就可以走了
,4,3,,第4篇評論找不到，得用RAWDATA回溯
,5,3,,第5篇評論找不到，得用RAWDATA回溯
,6,5,,第6篇評論找不到，得用RAWDATA回溯
,7,5,,第7篇評論找不到，得用RAWDATA回溯
,8,5,,導覽員非常用心介紹每一區塊 美食攤位 和 地方特產展售攤位 相當豐富逛吃逛吃很愉快的地方 做得比埔里酒廠熱鬧
,9,5,,宜蘭酒廠是宜蘭地區具有歷史指標的建築地點，入內參觀除了有酒廠特色酒外，建築物也是個觀賞重點。入廠區有免費停車場也免門票，廠內賣的金箔酒可以試喝，還有紅麴香腸也很不錯。二樓展示一些紀念文物，早期製酒使用的設備等，比較有特色的是一面用酒藍作成景觀牆，加以一些老舊圖案+燈。我們是假日去的，可能因為疫情關係遊客不多，參觀動線的引導可以再加強些就更棒了。酒廠離宜蘭縣設治紀念館、宜蘭文學館、新月廣場也都不遠，若酒廠逛完也可往這些地點去。逛一逛到新月廣場用晚餐也是不錯的選擇。
,10,5,,第10篇評論找不到，得用RAWDATA回溯
,11,4,,第11篇評論找不到，得用RAWDATA回溯
,12,4,,第12篇評論找不到，得用RAWDATA回溯
,13,5,,第13篇評論找不到，得用RAWDATA回溯
,14,2,,第14篇評論找不到，得用RAWDATA回溯
,15,5,,第15篇評論找不到，得用RAWDATA回溯
,16,4,,第16篇評論找不到，得用RAWDATA回溯
,17,3,,很特別也很漂亮的酒的博物館很適合網美來拍照大概停留一小時差不多 拍個走吃個香腸裡面從釀造製成裝瓶的過程都有講解也有把酒的種類分別介紹的很清楚讓人增加的許多知識唯一美中不足的地方是釀造酒跟蒸餾酒的舉例有稍微少了一些供給台灣有特色的酒品、有非常大的訂製女兒紅整譚、有各種特殊酒類供挑選、具觀光、購物方便之場所酒廠的正門入口管制車輛進入，所以必須從另一個入口進入，酒廠內便有大型停車場，停車不是問題，入內也不收取門票。
,18,5,,第18篇評論找不到，得用RAWDATA回溯
,19,3,,第19篇評論找不到，得用RAWDATA回溯
