_id,sid_comment,star,time,comment
,1,5,,第1篇評論找不到，得用RAWDATA回溯
,2,5,,第2篇評論找不到，得用RAWDATA回溯
,3,5,,第3篇評論找不到，得用RAWDATA回溯
,4,5,,第4篇評論找不到，得用RAWDATA回溯
,5,5,,第5篇評論找不到，得用RAWDATA回溯
,6,4,,第6篇評論找不到，得用RAWDATA回溯
,7,4,,第7篇評論找不到，得用RAWDATA回溯
,8,3,,第8篇評論找不到，得用RAWDATA回溯
,9,5,,第9篇評論找不到，得用RAWDATA回溯
,10,4,,第10篇評論找不到，得用RAWDATA回溯
,11,5,,第11篇評論找不到，得用RAWDATA回溯
,12,4,,第12篇評論找不到，得用RAWDATA回溯
,13,3,,第13篇評論找不到，得用RAWDATA回溯
,14,5,,第14篇評論找不到，得用RAWDATA回溯
,15,4,,第15篇評論找不到，得用RAWDATA回溯
,16,5,,第16篇評論找不到，得用RAWDATA回溯
,17,1,,第17篇評論找不到，得用RAWDATA回溯
,18,4,,第18篇評論找不到，得用RAWDATA回溯
,19,4,,除了購物外牛車很好拍這花好香樹造型修剪的很美還以為上頭的花是裝飾上去靠近一看是真花感謝網路大神搜尋後原來是梔子花雖有些花已枯萎但還是忍不住留下它美麗身影
,20,4,,第20篇評論找不到，得用RAWDATA回溯
,21,5,,第21篇評論找不到，得用RAWDATA回溯
,22,5,,第22篇評論找不到，得用RAWDATA回溯
,23,5,,第23篇評論找不到，得用RAWDATA回溯
,24,4,,第24篇評論找不到，得用RAWDATA回溯
,25,5,,第25篇評論找不到，得用RAWDATA回溯
,26,5,,第26篇評論找不到，得用RAWDATA回溯
,27,2,,第27篇評論找不到，得用RAWDATA回溯
,28,4,,第28篇評論找不到，得用RAWDATA回溯
,29,3,,第29篇評論找不到，得用RAWDATA回溯
,30,4,,第30篇評論找不到，得用RAWDATA回溯
,31,4,,第31篇評論找不到，得用RAWDATA回溯
,32,4,,第32篇評論找不到，得用RAWDATA回溯
,33,5,,第33篇評論找不到，得用RAWDATA回溯
,34,5,,第34篇評論找不到，得用RAWDATA回溯
,35,5,,第35篇評論找不到，得用RAWDATA回溯
,36,4,,第36篇評論找不到，得用RAWDATA回溯
,37,4,,第37篇評論找不到，得用RAWDATA回溯
,38,4,,第38篇評論找不到，得用RAWDATA回溯
,39,3,,第39篇評論找不到，得用RAWDATA回溯
,40,4,,第40篇評論找不到，得用RAWDATA回溯
,41,3,,第41篇評論找不到，得用RAWDATA回溯
,42,1,,第42篇評論找不到，得用RAWDATA回溯
,43,4,,第43篇評論找不到，得用RAWDATA回溯
,44,5,,第44篇評論找不到，得用RAWDATA回溯
,45,5,,『宜蘭餅』是從傳統牛舌餅改良而來的精緻點心，更是宜蘭最具代表性的伴手禮【宜蘭餅發明館】就位在宜蘭蘇澳，是個完全免費的觀光工廠，戶外巨型糕餅模型超好拍!!來看看厚度 0.1 公分的宜蘭餅怎麼製作出來的，還可以預約 DIY 自己嘗試製作超薄牛舌餅唷!!【宜蘭餅發明館】就位在國道五號的盡頭，而且剛好在兔兒毛毛用餐的【番割田甕窯雞】餐廳旁，吃飽飯後散步過去逛一逛剛剛好啊!! ^^「牛舌餅」是古早蘭陽平原非常有名的點心，是種牛舌形狀、由厚實餅皮包著黏牙麥芽糖的糕餅。而現在常見稱為『宜蘭餅』的超薄牛舌餅則是在 2002 年由糕餅師傅劉鐙徽改良「傳統牛舌餅」而成至今『宜蘭餅』幾乎已成為旅客來到宜蘭必買、且最具代表性的伴手禮啦～兔兒毛毛家吃過好幾次『宜蘭餅』，但是從不知道『宜蘭餅』的歷史和製作方式，來到【宜蘭餅發明館】剛好可以增廣見聞一下囉!!【宜蘭餅發明館】園區不僅可免費停車，還可以免費參觀、試吃呢!! ▌超大糕餅列車造景～好好拍!!【宜蘭餅發明館】的戶外區域有好多好好拍的場景～   有一輛載滿各種糕餅的蒸氣火車～放大版的糕餅實在挺可愛的呢!! ^^
,46,5,,第46篇評論找不到，得用RAWDATA回溯
,47,4,,第47篇評論找不到，得用RAWDATA回溯
,48,5,,第48篇評論找不到，得用RAWDATA回溯
,49,4,,第49篇評論找不到，得用RAWDATA回溯
,50,4,,第50篇評論找不到，得用RAWDATA回溯
,51,4,,第51篇評論找不到，得用RAWDATA回溯
,52,5,,宜蘭最有名的特色，就是「牛舌餅」是古早蘭陽平原非常有名的點心，外觀牛舌形狀、由餅皮包著黏牙麥芽糖的糕餅，是到宜蘭一定要買的喔。而宜蘭餅有，號稱全世界最薄的餅，只有0.1公分，輕薄如紙，可透光，香脆可口的甜蜜，就是牛舌餅喔！而他們的場地一次可以容納400人同時做牛舌餅DIY，現場還需要使用投影機然後面的人可以看到如何操作，超大，可惜沒有報名到場次。就只能看1樓的賣場和內外介紹，賣場和歷史博物館都非常的古色古香，人員穿著也是以中式為主，產品都是以中式常見的糕點，現場有中式的轎子，很好拍照📷。在賣場另外一邊，就是介紹糕餅的歷史，非常的詳細並且有一些舊的器具展示。外面這是最好拍照的地方，有大型的牛舌餅，鐘鼓🥁、還有一，整節的火車🚞上面放滿了產品，現在人在旁邊都顯得自己很小，哈哈哈😄。好吃好玩又有趣！
,53,5,,第53篇評論找不到，得用RAWDATA回溯
,54,2,,第54篇評論找不到，得用RAWDATA回溯
,55,4,,第55篇評論找不到，得用RAWDATA回溯
,56,4,,第56篇評論找不到，得用RAWDATA回溯
,57,5,,第57篇評論找不到，得用RAWDATA回溯
,58,4,,第58篇評論找不到，得用RAWDATA回溯
,59,4,,第59篇評論找不到，得用RAWDATA回溯
,60,4,,第60篇評論找不到，得用RAWDATA回溯
,61,5,,第61篇評論找不到，得用RAWDATA回溯
,62,5,,第62篇評論找不到，得用RAWDATA回溯
,63,3,,第63篇評論找不到，得用RAWDATA回溯
,64,5,,第64篇評論找不到，得用RAWDATA回溯
,65,5,,第65篇評論找不到，得用RAWDATA回溯
,66,5,,第66篇評論找不到，得用RAWDATA回溯
,67,5,,第67篇評論找不到，得用RAWDATA回溯
,68,3,,第68篇評論找不到，得用RAWDATA回溯
,69,3,,第69篇評論找不到，得用RAWDATA回溯
,70,5,,第70篇評論找不到，得用RAWDATA回溯
,71,5,,第71篇評論找不到，得用RAWDATA回溯
,72,4,,第72篇評論找不到，得用RAWDATA回溯
,73,5,,第73篇評論找不到，得用RAWDATA回溯
,74,5,,第74篇評論找不到，得用RAWDATA回溯
,75,5,,第75篇評論找不到，得用RAWDATA回溯
,76,4,,第76篇評論找不到，得用RAWDATA回溯
,77,5,,第77篇評論找不到，得用RAWDATA回溯
,78,5,,第78篇評論找不到，得用RAWDATA回溯
,79,5,,第79篇評論找不到，得用RAWDATA回溯
,80,4,,第80篇評論找不到，得用RAWDATA回溯
,81,5,,第81篇評論找不到，得用RAWDATA回溯
