_id,sid_comment,star,time,comment
,1,pos,5 天前,民國前一年就成立了！紅露酒是最地道，可以買酒寄存六年，第一年免費，有需要紀念或慶祝時刻，來一罈吧！
,2,pos,1 週前,內部規劃有酒品製造流程，富含教育功能，除此之外也介紹了特有的紅麴之發酵、形貌等等，適合闔家共同參訪的地方；同時也有「啤酒箱」牆可以拍照，相當有意思！
,3,pos,1 個月前,宜蘭知名的酒廠，去的時候剛好是最後做酒精的時候了去完沒多久就看到新聞說不做了，有專門給停車的地方但標示沒有很明白勉勉強強，第一次去繞了快要一圈才知道怎麼進去，不過是免費停車的地方就不跟他計較一進去右後方有很大的台灣啤酒🍻就是鋁罐那種的放大版大概有兩三層樓高吧，拍照📷指標 妹子網美景點身為男士們就要知道自己的任務是什麼再來拍完之後跟著走進去可以看到很多制酒的工廠雖然是假日去沒在幹嘛反正也不是很重要，經過幾間的工廠之後會看到遠方有很多黃色的籃子  不要懷疑 這些酒籃子就是 拍照📷指標身為男士們 馬上要貼心的問女伴們需要幫妳們拍照嗎📷 就可以看到很多的 女生女性 婆婆媽媽 等等在這些黃色的籃子面前擺出各種不同類型風格口味的照片身為專業的攝影師 不要懷疑 按下連拍就對了多拍幾張最後讓她們自己去選擇否則下場不堪想像啊⋯⋯拍照之後又去看了一下有兩個賣場的樣子一個看了完全不餓想進去喔留一個是有賣泡麵的地方勉強可以逛一下重點就是拍照 📷 拍完就可以走了
,4,3,2 週前,酒廠裡面分了幾區，蠻好逛的，我去兩次都是非假日所以人真的不多，只是廠區應該可以增設兒童可以玩樂的地方，否則停留的時間無法太久。
,5,3,2 週前,第一次造訪，園區不大，主要的產品是以酒、紅糟與台酒的產品為主，愛喝台酒的朋友應該很愛，對其他人來說，可觀賞性並不高
,6,pos,2 週前,停車不能停在裡面，必須在外面先停好再走進去金箔酒還蠻美的，威士忌金箔酒兩瓶有特價。做紀念或送人還不錯的選擇。
,7,pos,2 週前,二樓的解說很棒，喜歡喝酒的夥伴值得留下來靜心看一下，特別是平板電腦的Ｑ＆Ａ，有很多有用小知識。
,8,pos,2 週前,導覽員非常用心介紹每一區塊 美食攤位 和 地方特產展售攤位 相當豐富逛吃逛吃很愉快的地方 做得比埔里酒廠熱鬧
,9,pos,1 個月前,宜蘭酒廠是宜蘭地區具有歷史指標的建築地點，入內參觀除了有酒廠特色酒外，建築物也是個觀賞重點。入廠區有免費停車場也免門票，廠內賣的金箔酒可以試喝，還有紅麴香腸也很不錯。二樓展示一些紀念文物，早期製酒使用的設備等，比較有特色的是一面用酒藍作成景觀牆，加以一些老舊圖案+燈。我們是假日去的，可能因為疫情關係遊客不多，參觀動線的引導可以再加強些就更棒了。酒廠離宜蘭縣設治紀念館、宜蘭文學館、新月廣場也都不遠，若酒廠逛完也可往這些地點去。逛一逛到新月廣場用晚餐也是不錯的選擇。
,10,pos,1 個月前,裡面的賣店非常親切，雖然因為疫情的關係沒有甚麼人，但仍然熱心地招呼我們，也不會強迫推銷購買。酒糟香腸好吃！
